BOSTON CF CLIMB 2017
2017-10-15

50
1,Andrew Waples,,M,06:39.8
2,David Leftcourt,,M,07:00.4
3,Bryan Wilcox,,M,07:45.0
4,Tom Wines,,M,08:03.7
5,Des Gallacher,,M,08:15.0
6,Rodrigo Borges,,M,08:15.2
7,Michael Bortnick,,M,08:16.0
8,Jayden Lockhart,,M,08:16.7
9,Peter Francis,,M,08:31.8
10,Debbie Yaffee,,F,08:51.7
11,Jamie Mullen,,F,08:54.4
12,Jessica Diphilippo,,F,09:00.8
13,Karin Darakananda,,F,09:02.4
14,Sahej Gulati,,F,09:11.5
15,Alex Cayarga,,M,09:13.6
16,Alexander Pauley,,M,09:19.1
17,Nate Yaffee,,M,09:19.5
18,Al Axelsen,,M,09:27.5
19,Kathy Devilly,,F,09:28.3
20,Bill Devilly,,M,09:29.2
21,Erin Mellen,,F,09:44.3
22,Aaron Sousa,,M,09:47.0
23,Colleen Farrell,,F,09:50.1
24,Glenn Sousa,,M,10:01.6
25,Monique Girard,,F,10:10.6
26,Patrick McCarron,,M,10:15.9
27,Larry Yaffee,,M,10:16.9
28,Drew Yaffee,,M,10:27.1
29,Greg Molind,,M,10:28.0
30,Calyb Dennis,,M,10:31.0
31,Taylor Morley,,F,10:36.6
32,John Shea,,M,10:37.3
33,Teresa Watkins,,F,10:40.7
34,Robert Brannan,,M,10:57.8
35,Forrest Detwiller,,M,10:59.9
36,John Garvey,,M,11:03.3
37,Wing Lau,,F,11:05.9
38,Carson Pratt,,M,11:08.1
39,James McAteer,,M,11:14.8
40,Courtney Marsolais,,F,11:18.4
41,Maura Gavaghan,,F,11:19.2
42,Evan Newby,,M,11:20.1
43,Jay Picariello,,M,11:21.7
44,Wallace Rutkowski,,M,11:28.8
45,Sunny Jiang,,F,11:32.8
46,Jeff Martin,,M,11:56.6
47,Danielle Pineault,,F,11:59.3
48,Gina Cosimano,,F,12:01.4
49,Sabina Duborg,,F,12:02.5
50,Kelsey Watkins,,F,12:05.0
51,Meredith Carey,,F,12:06.5
52,Ashley Johnson,,F,12:13.1
53,Tiffany Cayarga,,F,12:14.8
54,Steve Dacosta,,M,12:17.3
55,Rachael Carey,,F,12:22.5
56,Betsy Jacobson,,F,12:35.7
57,Michael Keffer,,M,12:47.4
58,Jenni Kruse,,F,12:54.6
59,Shalya Gulati,,F,13:11.5
60,Lauren Yaffe,,F,14:25.6
61,Timothy McCarthy,,M,14:27.0
62,Jonell Thibault,,F,14:45.7
63,Barbara Schwartz,,F,14:51.2
64,Lindsay McCarthy,,F,14:56.2
65,Michelle Capriotti,,F,14:58.7
66,Vikas Gulati,,M,15:10.7
67,Matthew Geogan,,M,15:21.7
68,Nicole Conniff,,F,15:31.1
69,Arden Bengtson,,F,15:47.0
70,Preston Adams,,M,15:51.1
71,Andrew Bower,,M,15:51.5
72,Jessica Davies,,F,16:01.1
73,Damon Farley,,M,16:21.7
74,Lawrence Fahey,,M,16:31.9
75,Alexandra Patarino,,F,16:32.5
76,Erik Currin,,M,16:36.2
77,Nicole Delilly,,F,16:38.5
78,Michael Striglio,,M,16:40.7
79,Brent Parcell,,M,16:58.2
80,Brian Fenton,,M,17:54.6
81,Lori Miller,,F,18:34.5
82,Lindsay Dahlstrom,,F,18:43.6
83,Heather Molind,,F,18:48.0
84,Michael Feeley,,M,19:38.0
85,Diane Hallett,,F,20:36.2
86,Jillian Sheeran,,F,20:47.4
87,Kelly Mahoney,,F,20:56.0
88,Daniel Buckley,,M,21:05.0
89,Erin Vera,,F,21:06.3
90,Barrett O'Neill,,M,21:11.5
91,Thomas Smith,,M,21:19.2
92,Jane Conley,,F,22:27.8
93,Joshua Lockhart,,M,23:12.5
94,Christine Ruszkowski,,F,24:59.6
95,Nathan Gendreau,,M,52:42.2
96,Phillip Justvig,,M,52:48.7
