LEMON CLIMB BOSTON 2017
2017-10-21

50
1,STEPHEN MARSALESE,,M,3:20.2
2,MARCOS MARCH,,M,4:29.8
3,ANN MORGAN,,F,4:37.3
4,HEATHER HANSEN,,f,4:53.6
5,DAVE DILLON,,M,4:55.3
6,KEN DUVAL,,M,5:04.4
7,CRAIG BLAIS,,M,5:15.5
8,SEAN HANSEN,,m,5:15.7
9,MIKEY LYNA,,M,5:18.0
10,EDWARD HARVEY,,M,5:26.7
11,SEBASTIAN KHUNKHUN,,M,5:35.1
12,SARAH SMITH,,F,5:53.8
13,SEAN DONNELLY,,M,6:08.0
14,SUSANNE BAUMEISTER,,F,6:12.6
15,FRANCESCO BOCCALATTE,,M,6:18.5
16,DOM GUNN,,M,6:23.1
17,JAY SCOTT,,M,6:27.7
18,MCKAYLA MENDEZ,,F,6:36.4
19,DOUG DOLAN,,M,6:38.7
20,TITU ADNIKAY,,M,6:39.5
21,ANDREW JOHNSON,,M,6:41.4
22,MELANIE BLAIS,,F,6:41.8
23,NIKKI KEARNEY,,F,6:42.4
24,AJ LYNA,,M,6:44.3
25,HENRY HERCE,,M,6:44.6
26,CHERYL AROUTH,,F,6:46.1
27,JUDLEY SANON,,M,6:47.2
28,JILLIAN WATTS,,F,6:49.8
29,CHRISTIAN BADR,,M,6:58.8
30,CHELSEA HERSEY,,f,6:59.5
31,BRANDON O'DONNELL,,M,7:00.0
32,DARLENE DEFELICIA,,f,7:01.2
33,RYAN BOUGHTER,,M,7:04.0
34,HEIDI CARROFEIO,,f,7:04.4
35,MICHAEL MALZ,,M,7:05.1
36,DAVID JAEHYU PARK,,M,7:07.1
37,STEVEN DUBOIS,,M,7:08.2
38,REILLEY CONNELLY,,F,7:08.6
39,CODY CONNELLY,,M,7:10.0
40,KATHLEEN HANSEN,,f,7:11.6
41,LOLA SANCHEZ DE MORA,,F,7:25.2
42,SAM LYNA,,F,7:26.8
43,LILY BLAIS,,f,7:27.6
44,KATIE MACKAY,,F,7:29.3
45,ELIZABETH HADLEY,,F,7:31.3
46,DENNIS CARRAFIELLO,,M,7:32.8
47,SIERRA POWERS,,F,7:37.7
48,JORDAN CARROFEIO,,M,7:39.7
49,JEFFREY SULLIVAN,,M,7:42.6
50,CHRISTOPHER PERKINS,,M,7:42.9
51,DONOVAN MCCAMMON,,M,7:50.4
52,CAROLYN IMPERATO,,F,7:50.7
53,COLEEN FRANZEL,,F,7:51.8
54,CRISTINA LAWLER,,F,7:53.6
55,SEAN ANDERSON,,M,8:03.9
56,LAUREN GIBBS,,F,8:05.1
57,JILLIAN RUANE,,F,8:06.1
58,PHILIP MILLER,,M,8:07.4
59,JAYNE OVERTURF,,F,8:11.2
60,IAN HINCKEN,,M,8:12.2
61,RYAN OVERTURF,,M,8:13.6
62,CARL FISCHER,,m,8:16.3
63,MARTHA TASCA,,F,8:27.8
64,MARY FLYNN,,F,8:30.2
65,BRIAN MENDEZ,,M,8:38.9
66,ALIA HASHEM,,F,8:42.2
67,NOAH BLOCH,,M,9:06.0
68,JULIA VANNI,,F,9:10.7
69,BRIELLE JOHNSON,,F,9:12.6
70,RIDA MOURTADA,,f,9:13.9
71,ELENI MOUTSATSOS,,F,9:15.4
72,ALI CONNORS,,F,9:16.2
73,RUNNER UNKNOWN,,M,9:17.8
74,CHARLOTTE WERT,,F,9:19.1
75,MEGHAN MURRAY,,F,9:20.5
76,JASON MANSFIELD,,M,9:21.4
77,JENNIFER DILLON,,F,9:22.8
78,SARAH KAC,,F,9:26.1
79,APRIL SMITH,,F,9:30.0
80,ERIC GUERIN,,M,9:46.1
81,MICHAEL RAY,,M,9:55.0
82,ELIOT GUERIN,,M,9:56.7
83,KYLE BURKE,,M,9:57.5
84,CHELSEA WEIDMAN,,F,10:03.4
85,JILLIAN DEJADON,,F,10:06.5
86,KAMI NOLET,,F,10:07.4
87,JENNIFER TWOMBLY,,F,10:10.0
88,CLAUDETTE D.,,F,10:14.7
89,JOSEPH GIURLEO,,M,10:16.1
90,DAN WELLS,,M,10:22.8
91,TRICIA HARRISON,,F,10:33.5
92,BETH KELLEY,,F,10:43.5
93,ASHLEY SARTELL,,F,10:45.3
94,ANGELA LEMOINE,,F,11:30.0
95,VANESSA TRAVERS,,F,11:36.8
96,MANDY BANFILL,,F,11:44.1
97,HEATHER LAMICA,,F,11:45.4
98,TAYLYN LEMOINE,,F,11:59.1
99,DAVID DEAN,,M,12:22.5
100,MEGAN OCONNELL,,F,12:32.6
101,ALICIA ZEH-DEAN,,F,12:32.7
102,TRAVIS MARSHALL,,M,12:33.6
103,MAURA GREEN,,F,12:36.4
104,REBECCA WINTER,,F,12:37.6
105,JOHN OCONNELL,,M,12:38.3
106,MATTHEW DALBEC,,M,12:38.7
107,CHRISTOPHER MILLER,,M,13:49.3
108,LAURA BARBELLA,,F,15:06.5
109,TAMMY KOCIENDA,,F,15:07.1
110,CHRISTIE LYNAOWN,,f,15:36.5
111,MIKE LYNA,,M,15:40.2
112,MADISON DENNIS,,F,16:58.9
113,BILLY GREENLAW,,M,17:24.6
114,DAVID BOWKER,,M,18:36.0
115,RITA BLAIS-BOWKER,,F,18:36.3
116,DANA BLACKLER,,F,19:18.4
117,SUE FLYNN,,F,19:30.1
118,ELIZABETH LAURENCOT,,F,19:31.0
119,DEB L'HEUREUX,,F,19:32.8
120,CHUCK MATTIA,,M,19:36.4
121,CECILE ROUTHIER,,F,19:38.7
122,IRIS MATTIA,,F,19:39.9
123,LETICIA MEEHAN,,F,19:40.3
124,MARY PLOUFFE,,F,19:49.1
