Tampa Tunnel to Tower 2017 
2017-5-6

50
1,Troy Alston,30,M,04:12.20
2,Thomas Scott,52,M,04:20.00
3,Chris Van Glahn,49,M,04:43.90
4,Corey Holthaus,37,M,04:44.70
5,Eduardo Soares,24,M,05:28.80
6,Stephen Coyne,45,M,06:11.00
7,Susan Glaser,40,F,06:33.20
8,Heather Conover,40,F,06:53.10
9,Ted Schellinger,46,M,06:54.80
10,Lucas Bourgeois,32,M,07:15.00
11,Gretchen Frapwell,34,F,07:34.60
12,Tursunali Mahkamov,31,M,07:46.50
13,George Belsom,49,M,07:55.20
14,Evanna Williams,17,M,07:55.20
15,Christina Belsom,42,F,07:57.10
16,Allison Pierce,29,F,08:06.10
17,Jeremy Knox,33,M,08:06.80
18,Nick Rodriguez,35,M,08:33.50
19,Matthew Jefferson,29,M,08:48.00
20,Kevin Boles,31,M,08:57.40
21,Christa Vutera,47,F,08:57.90
22,James Cook,16,M,09:04.50
23,Jennifer Watson,40,F,09:12.40
24,Erika Lurz,35,F,09:15.80
25,Renee Benson,44,F,09:19.20
26,Joe Lee,24,M,09:20.20
27,Justin White,28,M,09:23.80
28,Shannon Rico,39,F,09:31.60
29,Cindy Williams,57,F,09:36.30
30,Lisa Yttri,47,F,09:41.20
31,Cameron Dunn,8,F,09:43.80
32,Samantha Morse,25,F,09:51.30
33,Scott Kulczar,48,M,09:52.70
34,Ed Smith,44,M,10:07.10
35,Jimmy Chestnuts,40,M,10:12.20
36,Manny Hernandez,26,M,10:15.10
37,Dave Schurtz,65,M,10:18.50
38,Jovany Veloz,39,M,10:19.70
39,Kelsey Vadelund,28,F,10:20.60
40,Melissa Taque,25,F,10:22.60
41,Andrew Wojack,27,M,10:24.50
42,Kevin Proper,40,M,10:27.50
43,Zach Zwicker,29,M,10:27.60
44,Stefanie Martinez,,F,10:29.20
45,Bob Ponticelli,56,M,10:32.70
46,Dustin Miller,0,M,10:34.30
47,Dante Primus,27,M,10:36.50
48,Matthew Handwerk,42,M,10:37.90
49,Irene Gamboa,34,F,10:40.30
50,Lis Lay,26,F,10:44.50
51,Illyaas Brewer,35,M,10:46.40
52,Stephen Coyne,45,M,10:46.90
53,Allison Mooney,29,F,10:50.50
54,Kelly Honig,37,F,10:52.10
55,Charles Kelsey,45,M,10:54.60
56,Lisa Goodrich,37,F,10:56.30
57,Linda Ponticelli,54,F,10:59.80
58,Anita Reibel,66,F,11:03.20
59,Rachel Padich,25,F,11:08.00
60,Christie Marino,31,F,11:08.20
61,Christal Hall,37,F,11:09.90
62,Melissa Vergara,32,F,11:13.50
63,Michelle Clifton,33,F,11:14.60
64,Amanda McAlister,33,F,11:23.30
65,Fernando Ramos,34,M,11:29.70
66,Megan Eaton,24,F,11:31.00
67,Shannon Montgomery,18,M,11:37.40
68,Ashley Papia,28,F,11:46.30
69,Jude Pyles,38,F,11:54.90
70,Holly Murren,37,F,12:11.90
71,Michelle Naples,40,F,12:18.40
72,Nellie Taracido,46,F,12:32.60
73,Kasey Martel,44,F,12:34.50
74,Sara Hernandez,57,F,12:53.40
75,Celia Merritt,35,F,13:30.70
76,Theresa Evans,41,F,13:34.30
77,Unknown Partic. 9129,,M,13:41.20
78,Kaitlyn Naples,14,F,13:42.70
79,Adam Jester,39,M,13:57.30
80,Tina Guinn,46,F,14:11.70
81,Jeannie Daneman,60,F,14:16.20
82,Marysa Martel,12,F,14:19.40
83,Elizabeth Curtis,47,F,14:28.00
84,Megan Warkomski,38,F,14:31.50
85,Sally Siller,49,F,14:55.90
86,Frank Torres,37,M,15:00.30
87,Heather Hanson,30,F,15:29.40
88,Lilian Martinez,27,F,15:30.60
89,Jennifer Ames,43,F,15:31.10
90,Suzette Key,48,F,15:49.90
91,Melissa De Leon,44,F,15:52.70
92,Jodi Blake,42,F,15:59.70
93,Valerie Virgen,40,F,16:07.10
94,David Seymour,53,M,16:25.90
95,Jasmin Bogilovic,24,M,16:30.60
96,Carl Molisani,33,M,16:32.60
97,Joe Valdez,54,M,17:18.40
98,Rhonda Handwerk,38,F,18:06.10
99,Denise Liptak,48,F,18:46.30
100,Yakira Aponte,21,F,19:01.20
 ,,,,
Place,Name,Age,Gender,Total Time
101,Jazz Johnson,33,F,20:11.10
102,Leslie Demaio,45,F,20:21.70
103,Kyle Albano,57,M,21:22.90
104,Douglas Martinez,27,M,23:28.50
105,Mark Casey,59,M,23:50.00
106,Stephen Disney,28,M,24:37.60
107,Mark Erroch,21,M,28:15.00
108,Kirsty Erroch,18,M,
