2018 CF orlando
2018-9-29

100
201,Troy Alston,,M,01:30.40
289,Gustavo-Isaac Mendoza-Cruz,,M,01:41.30
311,Max Rickard,,M,02:04.10
261,Nicholas Winkleman,,M,02:16.20
204,Brian Baker,,M,02:20.70
270,Amani Jones,,M,02:22.60
259,Patrick Griffin,,M,02:29.00
366,Ethan Heard,,M,02:34.10
306,Tom Phillips,,M,02:41.30
364,Rob Keller,,M,02:43.70
230,Lorence Dean,,M,02:50.80
225,Jeff Callahan,,M,02:55.90
322,Alicia Rossi,,F,02:56.30
340,Travis Taylor,,M,03:02.30
209,Roger Baker,,M,03:08.30
294,Michelle Naranjo,,F,03:08.80
246,Daniela Garcia,,F,03:13.90
400,Ronald Richardson,,M,03:14.60
370,Jackson Keller,,M,03:14.70
362,Jessica Winn,,F,03:26.70
317,Jacob Rodriguez,,M,03:33.80
357,Catherine Wilder,,F,03:35.20
257,Cian Griffin,,M,03:38.60
205,Kasey Baker,,F,03:44.60
207,Riley Baker,,F,03:45.20
273,Idi Kayiro,,M,03:46.70
222,Jayne Carroll,,F,03:48.10
368,Camden Keller,,M,03:51.90
338,Robin Taylor,,F,03:51.90
378,Stacy Romero,,F,03:52.30
391,Alexa Phillips,,F,03:52.60
232,Rosalie Denelsbeck,,F,03:53.70
227,Luis Cosme,,M,03:54.30
346,Judith Toro,,F,03:56.30
339,Tori Taylor,,F,03:57.70
365,Krista Keller,,F,03:59.90
320,Jesse Rosensweig,,M,03:59.90
237,Aubrey Dunn,,F,04:03.60
241,Stephanie Fire-Smith,,F,04:10.10
360,Evanna Williams,,M,04:11.80
379,Scarlett Romero,,F,04:16.60
333,Jessica Sobieski,,F,04:18.90
392,Unknown Partic. 392,,M,04:20.20
325,Karin Rush,,F,04:20.50
302,Jeff Olkowski,,M,04:20.60
332,Lee Sisselsky,,M,04:22.90
260,Patrick Griffin,,F,04:24.50
269,Caroline Johnson,,F,04:25.90
258,Lynda Griffin,,F,04:29.50
398,Amira Afrifa,,F,04:29.60
285,Charlie McGranahan,,M,04:29.90
399,Amani Afrifa,,F,04:30.80
203,Michael Arias,,M,04:31.30
312,Rhiannon Ripple,,F,04:31.40
283,Natalia Lugo,,F,04:33.50
290,Shannon Montgomery,,M,04:34.70
250,Brittany Gloersen,,F,04:38.80
253,Roman Gomez,,M,04:39.10
385,gabby Montuoro,,F,04:40.20
226,Jacqueline Clegg,,F,04:44.00
208,Shane Baker,,M,04:46.60
382,Unknown Partic. 382,,M,04:47.70
389,Kareem Ali Dinar,,M,04:55.10
393,Emily Grainger,,F,04:56.40
352,Norman Walker,,M,04:58.30
381,Tea Rivera,,F,04:59.70
316,Marissa Roberts,,F,05:00.50
329,Susan Sepiol,,F,05:01.40
396,Jamal Afrifa,,M,05:02.00
394,Raymond Walter,,M,05:02.70
319,Ginney Rosensweig,,M,05:03.10
216,Ben Brown,,M,05:04.60
395,Logan Smith,,F,05:06.60
350,Greg Walker,,M,05:08.10
202,Kristen Arias,,F,05:09.00
206,Kristine Baker,,F,05:09.10
287,Kally McGranahan,,F,05:10.50
314,Lilyana Rivera,,F,05:10.90
313,Aliyah Rivera,,F,05:13.00
397,Chelby Afrifa,,F,05:13.60
245,Christina Frucci,,F,05:14.60
228,Kelly Cutchin,,F,05:20.50
387,Kenny Fare,,M,05:25.90
210,Kasey Barger,,F,05:27.40
291,Mattia Montuoro,,M,05:28.30
286,Corey McGranahan,,M,05:28.70
388,Stephanie Bare,,F,05:29.70
353,Andrea Wallace,,F,05:30.10
271,Ann Jordan,,F,05:30.80
233,Whitney Denelsbeck,,M,05:31.80
390,Shatha Yousef,,F,05:34.90
243,Lauren Fore,,F,05:35.90
377,Sade Granger,,F,05:37.00
284,Bev McDowell,,F,05:40.50
305,Michelle Phillips,,F,05:40.50
330,Harley Singer,,M,05:42.80
331,Lynette Singer,,F,05:44.90
292,Heather Mucciante,,F,05:46.20
380,Garri Cervania,,M,05:53.80
267,Sarah Horton,,F,05:54.70
,,,,
Bib No,Name,,Gender,Total Time
344,Olivia Thompson,,F,05:55.00
236,Keith Douglas,,M,05:55.20
293,Sydney Mullarkey,,F,05:57.50
342,Aria Thompson,,F,05:58.20
240,Erica Feinglass,,F,06:02.70
384,Christina Hughes,,F,06:03.50
215,Bea Brown,,F,06:05.90
255,Patti Green,,F,06:06.30
276,Michael Knafou,,M,06:07.30
341,Andrew Thompson Thompson,,M,06:10.80
218,Shannon Brown,,F,06:11.50
247,Kaileigh Geary,,F,06:29.40
383,Unknown Partic. 383,,M,06:38.60
242,Cody Fore,,M,06:56.30
256,Cynthia Gries,,F,06:56.50
363,Sally Wolfe,,F,06:59.70
217,Matthew Brown,,M,07:02.90
212,Allison Broadway,,F,07:03.60
249,Sameh Ghazal,,F,07:09.40
308,Hala Ramadan,,F,07:19.90
248,Dalia Ghazal,,F,07:24.30
334,Leigh Speicher,,F,07:31.90
343,Nicole Thompson,,F,07:33.30
345,Selene Thompson,,F,07:33.80
277,Kelly Krahn,,F,07:37.20
310,Andres Reyes,,M,07:46.60
221,Shannan Burk,,F,07:54.60
304,Jessica Perry,,F,08:13.20
213,Lucas Broadway,,M,08:25.50
386,Mary Jorday,,F,08:35.70
356,Heather Whitmore,,F,08:42.50
264,Heidi Heath,,F,08:49.90
281,Z'Leah Liburd,,F,09:58.60
265,Adam Hendess,,M,10:22.80
266,Sarah Hendess,,F,10:24.90
358,Randi Wilkinson,,F,14:33.40
298,Avi Nieuchowicz,,M,15:09.00
