2019 ALA Portland Single
2019-3-1

50
,Tristan ROTH,35,M,4:31,,,,
,Eric YAN,35,M,4:55,,,,
,Rick WADE,55,M,5:20,,,,
,Rudy PEONE,48,M,5:36,,,,
,Benjamin CLAWSON,34,M,6:30,,,,
,Joseph MCLENDON,33,M,6:33,,,,
,Nic ANDERSON,37,M,6:53,,,,
,David RIDDLE,66,M,6:57,,,,
,Nicholi KHAGAVEI,99,M,7:11,,,,
,Jonalyn BRUN,40,F,7:17,,,,
,Stephen WHITTINGTON,50,M,7:31,,,,
,Jason TALARICO,28,M,7:52,,,,
,Mary HINDAL,50,F,8:02,,,,
,Michael CUMMINGS,30,M,8:06,,,,
,Dan BROWN,36,M,8:09,,,,
,Hakim SPEARS,27,M,8:11,,,,
,Karrisa HARDGROVE,42,F,8:12,,,,
,Jeffrey MICHAEL,52,M,8:17,,,,
,Hayes INABNIT,13,M,8:19,,,,
,Rick CRAYCRAFT,69,M,8:20,,,,
,Lori TAYLOR,41,F,8:25,,,,
,Jacob GRANDFIELD,45,M,8:29,,,,
,Carter HANLEY,16,M,8:30,,,,
,Zach REUTER,28,M,8:32,,,,
,Alexander ABE,13,M,9:01,,,,
,Dayana ENRIQUEZ,25,F,9:03,,,,
,Colton HARDGROVE,9,M,9:05,,,,
,Daniel ALTMAN,31,M,9:06,,,,
,Julee RYAN,48,F,9:06,,,,
,Adam HARDGROVE,36,M,9:14,,,,
,Jack THOMPSON,7,M,9:30,,,,
,Sagan GERSABA,31,M,9:34,,,,
,Cholee THOMPSON,41,F,9:37,,,,
,Katie TAYLOR,36,F,9:56,,,,
,Alex KALETIN,23,M,10:02,,,,
,Julie FREBURG,41,F,10:02,,,,
,Christian ALVIAR,25,M,10:10,,,,
,Danielle FOGG,33,F,10:22,,,,
,James TAYLOR,39,M,10:32,,,,
,Molly BLUHM,24,F,10:43,,,,
,Danae GRANDFIELD,41,F,10:53,,,,
,Aimee FUNK,43,F,10:55,,,,
,Jenna JORVE,38,F,11:03,,,,
,Mona PHAN,26,F,11:03,,,,
,Tanya KALETINA,21,F,11:04,,,,
,Glen PATRICK,51,M,11:05,,,,
,Justin WARREN,32,M,11:07,,,,
,Julie SLACK,55,F,11:10,,,,
,Ronald GUZIAK,72,M,11:13,,,,
,Mary MURPHY,38,F,11:13,,,,
,Allyson JORVE,8,F,11:18,,,,
,Stephane ROUX,45,M,11:18,,,,
,Jerilyn GUPTON,58,F,11:28,,,,
,Valerie KARSCH,56,F,11:36,,,,
,Alex GILLET,38,M,11:39,,,,
,Irina KUR,22,F,11:40,,,,
,Alina KALETIN,20,F,11:45,,,,
,Anders JORVE,37,M,11:45,,,,
,Felix GILLET,9,M,11:55,,,,
,Conner JONES,31,M,11:58,,,,
,Scott FARESTRAND,60,M,12:03,,,,
,Zach KINZER,41,M,12:09,,,,
,Unknown ATHLETE,99,F,12:10,,,,
,Unknown CLIMBER,99,M,12:17,,,,
,Courtney BASILE,43,F,12:18,,,,
,Laurie THOMAS,58,F,12:19,,,,
,Robert ENDRESEN,54,M,12:35,,,,
,Geo CLOAKEY,24,M,13:13,,,,
,Michael MAZUR,31,M,13:23,,,,
,Steve COX,56,M,13:25,,,,
,Jan BLAZEK,49,F,13:25,,,,
,Heather MURRAY,54,F,13:30,,,,
,Patty WIRGES,58,F,13:31,,,,
,Doug WIRGES,66,M,13:36,,,,
,Taylor NOUHOFF,25,F,13:38,,,,
,Jenelle HARRISON,44,F,14:00,,,,
,Samantha ITATANI,30,F,14:09,,,,
,Stephanie LYNCH,56,F,14:19,,,,
,Kim HANLEY,45,F,14:30,,,,
,Poppy GLOCK,46,F,14:59,,,,
,Kristie PHAN,30,F,15:04,,,,
,Jaclyn TRAN,28,F,15:12,,,,
,Victoria PREISLER,48,F,15:19,,,,
,Scott SCHUYLER,28,M,15:20,,,,
,Paul MUIGAI,34,M,15:21,,,,
,Mao MOUA,30,F,15:24,,,,
,Trai KOUWENHOVEN,23,M,15:50,,,,
,Katie KELLER,41,F,15:51,,,,
,Molly O'HARA,46,F,16:04,,,,
,Mekayla MACPHERSON,25,F,16:14,,,,
,Ashley CASTINO,29,F,16:34,,,,
,Mary CZECH,47,F,17:02,,,,
,Angela PORRAS,37,F,17:28,,,,
,Julie KRESL,54,F,17:49,,,,
,Karla PEREYRA,33,F,17:50,,,,
,Rachel HART,48,F,17:55,,,,
,Meg WARRINGTON,32,F,18:17,,,,
,Rebecca PRESTON,33,F,18:58,,,,
,Rebecca DUFEK,47,F,19:16,,,,
,Michael DAILY,63,M,19:20,,,,
,Tammy MOORE,55,F,19:22,,,,
,Shoshana HIGGINS,45,F,19:43,,,,
,Giselle PERRY,57,F,21:20,,,,
,Louie James SANTOS,35,M,26:11:00,,,,
,Heather DOLLARHYDE,34,F,30:49:00,,,,
,Brittany KREIDER,28,F,35:50:00,,,,
,Berny RICHARDSON,46,M,35:56:00,,,,
,Alex YOUSE,17,M,35:57:00,,,,
,Michael HAYNES,48,M,35:59:00,,,,
,Lorena CURTIS,24,F,42:30:00,,,,
