2019 Empire State Run Up
2019-5-15

200
1,PIOTR LOBODZINSKI,,*M,10:05
2,WAI CHING SOH,,*M,11:14
3,FABIO RUGA,,*M,11:18
4,SHAUN STEPHENS-WHALE,,*M,11:58
5,OMAR BEKKALI,,*M,12:12
6,SPROULE LOVE,,M,12:16
7,SUZY WALSHAM,,*F,12:18
8,DAVID ROESKE,,M,12:33
9,RALF HASCHER,,*M,12:52
10,MARK HENDERSON,,M,12:52
11,ALEXANDER WORKMAN,,M,12:53
12,DAVID TROMP,,M,13:05
13,JASON LARSON,,M,13:09
14,MARTIN PEDERSEN,,M,13:11
15,LAURA MANNINEN,,*F,13:27
16,JOSHUA DUNCAN,,M,13:31
17,CINDY HARRIS,,F,13:38
18,MARK EWELL,,M,13:58
19,SHARI KLARFELD,,F,13:58
20,STEPHEN MARSALESE,,M,13:59
21,MARIA ELISA LOPEZ PIMENTEL,,*F,14:05
22,MEG SANTANNA,,F,14:22
23,CHARLIE O'DONNELL,,M,14:25
24,ANNA CARLSON,,F,14:29
25,STEPHANIE HUCKO,,F,14:38
26,MYLES FENNON,,M,14:45
27,CRISTINA BONACINA,,*F,14:49
28,IGNACIO ARCE,,M,15:04
29,DANIEL MURTAGH,,M,15:09
30,NATALIE DOOLITTLE-SHADEL,,F,15:18
31,KAMILA CHOMANICOVA,,*F,15:22
32,VERITY REES,,F,15:28
33,KATHRYN SAUSER,,F,15:33
34,TRICIA O'HARA,,F,15:36
35,JORG EBERHARD,,M,15:45
36,ROB PANNELL,,M,15:45
37,TIM FERGUSON,,M,15:50
38,OLGA STARIKOVA,,F,15:53
39,DEREK DEGROOT,,M,15:53
40,NAPOLEON WOO,,M,15:54
41,SUZANNE BERGEN,,F,16:01
42,CONRAD GIBSON,,M,16:01
43,MAX RITCHIE,,M,16:03
44,DEBBIE OFFICER,,F,16:04
45,DAVID HARRIS,,M,16:08
46,JACOB DINETZ,,M,16:14
47,MARTIN BOUDREAULT,,M,16:16
48,LEN BRODSKY,,M,16:17
49,JOHN THEISSEN,,M,16:25
50,CLIVE BURKE,,M,16:32
51,MATTHEW ALLYN,,M,16:39
52,STEVE STERMER,,M,16:42
53,CHRISTINE SOSKINS,,F,16:47
54,MATTHEW BRUCKNER,,M,16:48
55,SYLVAIN GAUTHIER,,M,16:53
56,SCOTT FREITAG,,M,16:59
57,JOHN OSBORNE,,M,17:09
58,ALICE RUDOLPH-SHABINSKY,,F,17:16
59,KENNY SANTUCCI,,M,17:16
60,MARCELO GARCIA,,M,17:16
61,MELISSA MOON,,*F,17:16
62,DAVID GOMEZ,,M,17:19
63,ARI WOLFE,,M,17:20
64,ELAINE BATTSON,,F,17:22
65,STEPHANIE PFEFFER,,F,17:28
66,LINDA VINER,,F,17:31
67,OLIVER KINSEY,,M,17:32
68,GRETTA BECKETT,,F,17:33
69,FRANCOIS-OLIVIE BERNARDIN,,M,17:41
70,GERALD TABIOS,,M,17:42
71,DONNA HOULIHAN,,F,17:43
72,TOM TANZOSH,,M,17:44
73,ALEX THOMPSON,,M,17:45
74,STEPHEN TANZOSH,,M,17:48
75,NEVIN SINGH,,M,17:48
76,NICK DREW,,M,17:48
77,WENDY LOGUE-BOYD,,F,17:49
78,WILL GANSS,,M,17:51
79,RACHEL WALTHER,,F,17:52
80,WALTER WOHLGEMUTH,,M,17:52
81,MASSIMO GROPPI,,M,17:57
82,STACY MISKOLCZI,,F,18:00
83,DANIEL SCHUSTERBAUER,,M,18:06
84,SIMI HENDERSON,,F,18:12
85,DAVID RIDDLE,,M,18:14
86,ALEXANDER PERNOKAS,,M,18:15
87,JASON ADER,,M,18:19
88,SONJA SHAKESPEARE,,F,18:22
89,JUSTIN DEVERY,,M,18:31
90,MIKE HERMAN,,M,18:34
91,DUANE DAHL,,M,18:41
92,NOLAN FEARON,,M,18:42
93,WILLIAM BUSCH,,M,18:55
94,JEREMY GARLAND,,M,18:59
95,FRANCK FERRARI,,M,19:13
96,GIBSON JOHNS,,M,19:14
97,BRIAN MAZZA,,M,19:15
98,JANET KASTELLANOS,,F,19:18
99,TIMOTHY DUGAN,,M,19:20
100,KATE SULLIVAN,,F,19:26
101,DANA KALKSMA,,F,19:30
102,SALLY KALKSMA,,F,19:32
103,ALEXANDER ANTUNOVIC,,M,19:41
104,JOHN DOOLEY,,M,19:48
105,JOSEPH SOSNOWSKI,,M,19:56
106,STACEY LASTOE,,F,19:58
107,MELANIE DEEFHOLTS,,F,20:05
108,BETTE CANTER,,F,20:08
109,KELLY OWEN,,F,20:09
110,CHRISTINE BIBBO,,F,20:14
111,TIM JOHNSON,,M,20:16
112,ROSS PATTERSHALL,,M,20:20
113,NATALIE CUNNINGHAM,,F,20:25
114,SELENA ROSE,,F,20:25
115,SCOTT JONES,,M,20:34
116,PIERPAOLO GUDDEMI,,M,20:35
117,RAJESH NAIR,,M,20:38
118,JOHN KIM,,M,20:42
119,RACHEL BAYLEY,,F,20:52
120,JENNIFER BLECHER,,F,20:52
121,TOM MCGEE,,M,20:53
122,MAIRIM COSME-VELASCO,,F,20:54
123,ALBERTO VALERO,,M,20:54
124,ALECIA OLEYOURRYK,,F,21:02
125,MARKO CHESETO,,M,21:17
126,DIRK HROSBSKY,,M,21:18
127,MICHAEL MORALES,,M,21:25
128,EUAN WATSON,,M,21:38
129,JAIMEE BOND,,F,21:42
130,KAITLYN EYESTER,,F,21:45
131,IAN STERN,,M,21:46
132,JOSEPH MURGO,,M,22:13
133,TRICIA WILLIAMS,,F,22:23
134,CHRISTOPHER STEPHENS,,M,22:23
135,DAVID HAUCK,,M,22:33
136,ED HOULIHAN,,M,22:36
137,ANNIE BURLEIGH,,F,22:38
138,TUCKER BURLEIGH,,M,22:38
139,ANDREW HENICK,,M,22:39
140,OLIVER PETROVIC,,M,22:39
141,GEORGE TAPINEKIS,,M,22:40
142,DHRUV JAIN,,M,22:55
143,HELENE WALISEVER,,F,23:05
144,QIANG LI,,M,23:10
145,DAVID SAMET,,M,23:19
146,MICHAEL KADOSH,,M,23:37
147,KELLY WORRELL,,F,23:44
148,GEROLD NIGGEMANN,,M,23:45
149,KELLY VANGILDER,,F,24:09
150,KRISTIN BURKE,,F,24:14
151,BETH BAILEY,,F,24:16
152,MARISSA GAINSBURG,,F,24:24
153,JAMES FORD,,M,24:33
154,LUIGI MAXIA,,M,24:37
155,HELGA EBERHARD,,F,24:47
156,MEG FREER,,F,24:56
157,MAURO MAXIA,,M,25:05
158,ISMETA HOT,,F,25:07
159,GABRIEL CARDIER,,M,25:08
160,SHANNA MILMAN,,F,25:12
161,JAIMEE MARIGLIANO,,F,25:12
162,TARA GONZALEZ,,F,25:17
163,PAUL PLACIDO,,M,25:17
164,DANIELLE BELTON,,F,25:33
165,MARY HARVEY,,F,25:33
166,DYAN NEWBERRY,,F,26:14
167,DAVID ALLARD,,M,26:22
168,JONATHAN PADUA,,M,26:25
169,ARYEH KORMAN,,M,26:26
170,RODNEY HARRISON,,M,27:02
171,SERGIO GIRALT,,M,27:27
172,IAN DONOGHUE,,M,27:36
173,RODERICK SEWELL,,M,27:44
174,MICHAEL PISTILLO,,M,27:45
175,NEFTALI VAZQUEZ,,M,27:49
176,RANDY PENTIS,,M,27:56
177,JATIN SHAH,,M,27:57
