2019 FFA NYC 
2019-3-1

100
541,DAVID ROESKE,38,M,06:47.2
257,ALEXANDER KROL,36,M,06:57.0
29,MATTHEW ALBANO,32,M,07:10.1
2,LEE GREATHOUSE,31,M,07:11.5
543,STEPHEN MARSALESE,53,M,07:20.2
3,PAUL CURLEY,63,M,07:42.1
33,ANNA CARLSON,36,F,07:45.5
30,MATT ZACHARKOW,35,M,07:56.8
5,EMILY CURLEY,24,F,08:01.7
90,JEFFREY GINGOLD,59,M,08:07.0
291,KEVIN FINN,52,M,08:13.9
36,DANIEL EGAN,35,M,08:23.4
16,RAYMOND BRESSLER,29,M,08:27.0
222,JOSEPH AHEARN,59,M,08:31.5
518,COLLIN KRAJCIK,30,M,08:33.1
25,VERITY REES,34,F,08:37.2
39,COLIN HOGAN,16,M,08:39.5
4,TRICIA OHARA,52,F,08:50.5
13,JEREMY MCDONALD,24,M,08:51.4
252,PETER KLINGES,25,M,08:53.6
195,MOUHAMED HALWANI,32,M,08:58.1
100,ADAM FISCHER,27,M,09:03.5
35,MICHAEL RACANELLO,51,M,09:03.8
99,KAYLA YOUNG,24,F,09:14.9
63,JULIAN FERRALDO,33,M,09:31.4
273,RICH GARRABRANT,34,M,09:32.7
9,MATTHEW MEMOLI,34,M,09:38.0
68,GASPAR AZAMBUJA,37,M,09:44.6
403,DAVE 'JAZZ' JASKOLKA,42,M,09:46.6
347,ANTHONY PALERMO,25,M,09:49.0
61,SHARON THOMAS,24,F,09:50.8
71,CONRAD SANCHEZ,34,M,09:52.9
147,FABIO BAENA,39,M,09:54.4
26,DAN STRADER,40,M,09:56.5
214,NICHOLAS TURKOVIC,54,M,09:57.0
357,TIMOTHY CHU,31,M,09:57.3
402,DANIELLE DOUGHERTY,34,F,09:57.5
72,MICHAEL FALLON,47,M,09:59.4
8,JAMES MCNAMARA,63,M,10:02.2
196,BRIAN KELLY,32,M,10:02.2
334,FREDERICK KAHN,32,M,10:03.0
167,BOB BRONZO,54,M,10:04.2
49,CLIFFORD BROSER,58,M,10:05.2
31,ASHLYN DINAN,12,F,10:06.8
32,JOSEPH DINAN,38,M,10:12.3
507,JANE BERENTSON,37,F,10:12.6
6,KEN MYERS,50,M,10:12.8
549,KEVIN O'MALLEY,43,M,10:15.0
76,STEVE BEYER,51,M,10:15.2
447,MATHIAS PETER,37,M,10:17.8
544,DAREY COTTRELL,41,M,10:19.0
7,CHRIS PERALTA,48,M,10:19.1
67,ANTONIO ARAUJO,57,M,10:19.2
519,PAM CONNOLLY,48,F,10:19.9
97,GRAHAM AHOKAS,29,M,10:21.2
179,MATTHEW KELLY,31,M,10:23.7
548,SUNILJIT SINGH,37,M,10:25.5
83,GERALD DIPASQUAL,14,M,10:26.2
103,HENRY VAUGHAN,25,M,10:26.6
512,BRANDON HEMMINGS,33,M,10:27.1
270,KATARZYNA LEWANDOWSKI,33,F,10:28.2
424,JOEL LOPEZ JORGE,29,M,10:29.5
88,JACK OEHM,60,M,10:33.9
143,JORGE PIRES,31,M,10:41.9
509,MATTHEW MARTINEZ,25,M,10:42.8
73,JASON MORRISON,37,M,10:43.1
75,DARREN CHAN,31,M,10:43.3
10,SALLY KALKSMA,56,F,10:43.8
382,DYLAN YOUNG,24,M,10:44.6
523,ROBERT JONES,54,M,10:45.7
14,SAMANTHA WELCH,42,F,10:46.1
248,GARRETT DONALDSON,23,M,10:47.2
459,ADAM APPS,37,M,10:49.0
284,DAVID STRAUS,39,M,10:49.4
288,ANGEL ACOSTA,36,M,10:49.9
229,JONATHAN PARK,27,M,10:52.8
11,SCOTT CHAPPE,60,M,10:53.2
471,GREG ROBINSON,36,M,10:54.0
96,PATRICK TEMPLE,29,M,10:55.9
65,JEFF KURTZ,27,M,10:56.4
145,CYNDI VALDES,32,F,10:58.0
470,JONATHAN CARDADEIRO,30,M,11:01.4
265,MICHAEL GUNDERSEN,30,M,11:05.2
511,JEREMY KLEIMAN,25,M,11:06.6
277,DAWN GENTZ,48,F,11:12.1
27,SHAWNA CAMILLERI,41,F,11:12.9
178,DOUG GRIMES,55,M,11:13.5
57,JAIME ROME,27,F,11:13.7
268,DAVID REITER,32,M,11:14.3
120,TODD ROSS,38,M,11:17.7
85,MARIA DIPASQUAL,12,F,11:19.5
102,JUSTIN FISHER,31,M,11:19.9
21,BRAD ASPGREN,56,M,11:20.5
437,JIM QUADRINI,49,M,11:20.6
354,KATIE CAREY,30,F,11:21.2
216,THOMAS TREZZA,53,M,11:22.1
