Milwauke CFF 2019
2019-11-14

95 #50 base, 14 people went under 7:20 cutoff, 9 bonus climbers for 55 bonus
1,Justin Stewart,,M,4:57
2,Chris Hoffman,,M,5:25
3,Mark Ewell,,M,5:34
4,Keith Harvey,,M,6:11
5,Sal Impellitteri,,M,6:12
6,Mark Punzenberger,,M,6:18
7,John Lewis,,M,6:30
8,Joshua Duncan,,M,6:31
9,John Teich,,M,6:37
10,Mike Kodner,,M,6:44
11,Josh Jackett,,M,6:45
12,Xavier Leplae,,M,6:51
13,Hal Carlson,,M,7:00
14,Brian Rummelhart,,M,7:01
15,Levi Nauman,,M,7:03
16,Natalie Doolittle-Shadel,,F,7:11
17,Zeke Dombrowski,,M,7:14
18,Jill Paha,,F,7:15
19,David Hanley,,M,7:21
20,Garrett Allen,,M,7:29
21,Ben Teich,,M,7:34
22,Adam Davis,,M,7:35
23,Carl Carlson,,M,7:38
24,Travis Peterson,,M,7:39
25,Carolyn Spiewak,,F,7:40
26,Travis Ottelien,,M,7:41
27,Sheryl Leonard-Schneck,,F,7:45
28,Allen Dowe,,M,7:56
29,Ben Ducett,,M,8:06
30,Emil Kadow,,M,8:07
31,Cael Large,,M,8:09
32,Ken Olszewski,,M,8:10
33,Stephen Coyne,,M,8:11
34,Noah Miller,,M,8:11
35,KC Kennedy,,F,8:12
36,Cathy Sharkey,,F,8:12
37,Thomas Alt,,M,8:22
38,John Berg,,M,8:25
39,Christopher Cesar,,M,8:30
40,Aidan Gelles,,M,8:31
41,Hunter Lau,,M,8:40
42,Terri Bauer,,F,8:41
43,Alex Davis,,M,8:41
44,Eldridge Bolin,,M,8:50
45,Arlen Spicer,,M,8:51
46,Joe Cayen,,M,8:52
47,Thorsten Wienss,,M,8:55
48,Tara Alauf,,F,9:04
49,Matthew Salm,,M,9:07
50,Mary Kate Bernier,,F,9:07
51,Randy Anderson-Kenney,,F,9:07
52,James Shibley,,M,9:08
53,Shayla Young,,F,9:11
54,Charlie Parrish,,M,9:12
55,Austin Lemke,,M,9:12
56,Alexis Richardson,,F,9:13
57,Joe Wegner,,M,9:14
58,Alyssa Armbrust,,F,9:20
59,Peter Francis,,M,9:21
60,Chris Dienberg,,M,9:23
61,Anthony Bilderback,,M,9:24
62,Heidi Brittnacher,,F,9:32
63,Elizabeth Loya,,F,9:34
64,Nicole Steinbergs,,F,9:35
65,Jeffrey Spangenberg,,M,9:38
66,Kyle Hoovey,,M,9:39
67,Eric Grethe,,M,9:39
68,Shawn Buettner,,M,9:42
69,Dustin Ashley,,M,9:42
70,Phil Davenport,,M,9:43
71,John Cayen,,M,9:45
72,Michael Lallensack,,M,9:50
73,Tami Guiler,,F,9:55
74,Aren Loya,,M,9:59
75,Amanda Schubert,,F,10:01
76,Walter Davis,,M,10:02
77,Jake Brunner,,M,10:03
78,Casey Alauf,,M,10:05
79,Lydia Anderson,,F,10:06
80,Allyse Nault,,F,10:08
81,Madelyn Jessick,,F,10:10
82,Garrett Schaefer,,M,10:10
83,Kedron Teare,,F,10:16
84,Nate Hoffmann,,M,10:19
85,Bettina Wienss,,F,10:20
86,Rizwan Loya,,M,10:20
87,Steven Thompson,,M,10:22
88,Benjamin Reuteler,,M,10:24
89,Aiden Loya,,M,10:26
90,Jacob Lloyd,,M,10:28
91,Ashley Upson,,F,10:28
92,Chris Eichhorn,,M,10:31
93,Andrew Nault,,M,10:31
94,Tina Jessick,,F,10:33
95,Brian Rummelhart,,M,10:34
96,Andrea Thompson,,F,10:37
97,Kevin Loebsack,,M,10:39
98,Anne Wandler,,F,10:43
99,Chase Miller,,M,10:43
100,Ali Vickstrom,,F,10:48
101,Evelyn Davauer,,F,10:49
102,Antonio Gibilian,,M,10:54
103,Miranda Martin,,F,10:54
104,Sean Becker,,M,10:56
105,Austin Van Zuiden,,M,10:58
106,Peter Ziegelbauer,,M,11:00
107,Becky Allen,,F,11:05
108,Lukas Mulkey,,M,11:07
109,Amy Hoffmann,,F,11:09
110,Chris Kemble,,M,11:09
