2019 FFA Albuquerque
2019-3-1

50
1,Ian Montoya,,M,0:02:07
2,Barry Ore,,M,0:02:11
3,Gary Turcich,,M,0:02:17
4,Elijah Roger,,M,0:02:22
5,Ben Hogge,,M,0:02:36
6,Scott Koerner,,M,0:02:36
7,John Marek,,M,0:02:42
8,Bill Wulfing,,M,0:02:44
9,Justin Cerra,,M,0:02:51
10,Jon-Eric Sanchez,,M,0:02:52
11,Ismael Meraz,,M,0:02:53
12,David Hamilton,,M,0:02:54
13,Sean Hilleary,,M,0:02:54
14,Pearce Ruddell,,M,0:02:54
15,Jackson Theobald,,M,0:02:54
16,Hilario Lopez,,M,0:02:57
17,Sara Yingling,,F,0:03:00
18,Rich Dowdican,,M,0:03:00
19,Laura Jones,,F,0:03:01
20,Homero Bojorquez,,M,0:03:02
21,Kacie Martin,,F,0:03:03
22,Whisper Evans,,F,0:03:03
23,Mark Hughes,,M,0:03:04
24,Greg Theobald,,M,0:03:06
25,Luke Brown,,M,0:03:07
26,Emilio Brown,,M,0:03:08
27,Cj Addison,,M,0:03:08
28,Carly Newlands,,F,0:03:11
29,Nick Ortiz,,M,0:03:12
30,Alan Sehlmeyer,,M,0:03:13
31,Jacob Perez,,M,0:03:14
32,Art Small,,M,0:03:14
33,Duane Ross,,M,0:03:14
34,Ezeqiel Abeyta,,M,0:03:15
35,Devin Varney,,M,0:03:15
36,Joshua Keller,,M,0:03:15
37,Terry Vernon,,M,0:03:15
38,Adrian Arroyo,,M,0:03:17
39,Taylor Navarrette,,M,0:03:18
40,Ashley Delara,,F,0:03:19
41,Julian Ramos,,F,0:03:19
42,Clayton Gaddy,,F,0:03:20
43,Jotham Espinosa,,M,0:03:22
44,Rebecca Padilla,,F,0:03:23
45,Hamilton Derek,,M,0:03:31
46,Jann Kindel,,F,0:03:31
47,Jill Klar,,F,0:03:33
48,Sharon Wheet,,F,0:03:35
49,,,,0:03:35
50,Makella Matier,,F,0:03:38
51,Ryan Culler,,M,0:03:38
52,Kevin Mathis,,F,0:03:43
53,Patrick Merten,,M,0:03:43
54,Patrick Kochersperger,,M,0:03:45
55,Stefanie Vigil,,F,0:03:45
56,Jordan Easley-Smalls,,M,0:03:47
57,Angelo Calderon,,M,0:03:47
58,Brian Martin,,M,0:03:49
59,Nisha Nevill,,F,0:03:50
60,Rob Cantu,,M,0:03:50
61,Lori Lambelet,,F,0:03:51
62,Jeremy Bien,,M,0:03:52
63,Kyle McCallister,,M,0:03:53
64,Tracy Abeyta,,F,0:03:54
65,Scott Shannon,,M,0:03:54
66,Maya Falcon,,F,0:03:56
67,Joe Carras,,F,0:03:56
68,Arturo Resendiz,,M,0:03:57
69,George San Miguel,,M,0:03:57
70,Lahoma Suazo,,F,0:03:57
71,Cathy Christensen,,F,0:03:58
72,Matthew Gilbertson,,M,0:03:58
