FFA milwaukee
2019-3-10

100
1,Jason Larson,,M,5:30,6:03,6:12,6:19,6:27,6:16,6:12,5:52,48:51
2,Holly LaVesser,,F,6:01,6:09,6:21,6:25,6:43,6:47,6:49,6:55,52:10
3,Josh Duncan,,M,6:02,6:45,6:40,7:01,6:50,6:47,6:58,6:50,53:53
4,Josh Jackett,,M,6:38,7:07,7:15,7:42,7:28,8:00,7:56,,52:06
5,Jamison Burish,,M,7:18,7:28,7:44,8:06,7:36,7:42,8:29,,54:23
6,Matt Johnston,,M,6:35,7:27,8:05,8:11,8:43,7:58,8:39,,55:38
7,Ken Olszewski,,M,7:44,8:03,8:12,8:33,8:46,8:26,9:34,,59:18
8,Garrett Allen,,M,6:57,7:59,8:22,9:03,9:24,9:20,11:05,,1:02:10
9,Andrew Telschow,,M,7:34,7:39,8:05,8:17,8:41,8:38,,,48:54
10,Robert Kowalski,,M,7:40,8:09,8:33,8:50,9:05,8:45,,,51:02
11,Paula Siech,,F,8:19,8:10,8:33,8:52,9:02,9:16,,,52:12
12,Danielle Moscatel,,F,7:49,8:14,8:42,9:11,9:12,9:19,,,52:27
13,Evan McDoniels,,M,7:48,7:59,8:53,8:56,9:02,9:57,,,52:35
14,Amy Napodano,,F,8:12,8:46,9:04,9:05,9:06,9:10,,,53:23
15,Doug Marx,,M,8:21,8:25,8:59,9:25,9:17,10:03,,,54:30
16,Kitt Kalscheur Jr,,M,7:43,8:47,9:25,9:44,9:59,9:04,,,54:42
17,Michael DeMarco,,M,9:15,9:03,9:19,9:13,9:10,9:39,,,55:39
18,Jeff Luedtke,,M,8:35,8:30,9:13,9:46,9:53,10:06,,,56:03
19,Phil Roemaat,,M,8:20,9:08,9:22,9:42,9:47,9:59,,,56:18
20,Jon Skavlem,,M,8:26,9:09,9:21,9:42,9:47,9:59,,,56:24
21,Billy Tehan,,M,8:09,8:42,8:55,10:05,10:14,10:39,,,56:44
22,Danielle Simonovic,,F,8:48,8:55,9:06,9:31,9:28,11:13,,,57:01
23,Ingrid Brandt,,F,8:58,9:12,9:32,10:00,10:15,9:57,,,57:54
24,Zachary Heller,,M,7:28,9:02,9:20,11:02,11:05,10:03,,,58:00
25,Hayden Searcy,,F,7:47,8:50,10:05,10:51,10:53,9:43,,,58:09
26,Brett Edgerle,,M,8:40,9:13,9:31,9:46,10:24,10:47,,,58:21
27,Mark Chelmowski,,M,8:34,9:23,9:56,10:19,10:33,10:30,,,59:15
28,Andrew Schreier,,M,9:35,9:31,10:09,10:22,10:48,11:29,,,1:01:54
29,Chris Simonovic,,M,9:24,9:45,10:26,10:52,10:55,11:31,,,1:02:53
30,Noel Brue,,F,8:51,9:31,10:34,11:05,11:30,11:32,,,1:03:03
31,Fred Schneider Jr.,,M,9:32,9:59,10:56,10:40,10:52,11:37,,,1:03:36
32,Adam Chanda,,M,9:24,10:12,11:13,11:29,12:17,18:05,,,1:12:40
33,Elizabeth Querio,,F,8:48,9:08,9:33,9:51,10:13,,,,47:33
34,David Thorpe,,M,8:45,8:56,9:47,10:21,11:23,,,,49:12
35,Leah Westpfahl,,F,10:11,9:52,9:52,10:40,10:49,,,,51:24
36,Sean O'Hagan,,M,9:32,9:54,10:24,10:21,11:13,,,,51:24
37,Julie Bruno,,F,8:58,10:13,10:41,10:53,10:59,,,,51:44
38,Nicole Richards,,F,9:05,9:42,10:25,11:16,11:17,,,,51:45
39,Jason Neubauer,,M,8:34,9:44,11:02,11:18,11:45,,,,52:23
40,Kady Magnuson,,F,8:58,10:03,10:55,11:14,11:29,,,,52:39
41,Jared Odegard,,M,8:12,9:09,10:59,11:44,13:16,,,,53:20
42,Katie Reinhart,,F,9:27,9:46,10:58,11:18,11:54,,,,53:23
43,Jennifer Harper,,F,8:42,11:15,11:26,10:58,11:04,,,,53:25
44,Michelle Spehr,,F,9:29,10:03,11:05,11:32,12:07,,,,54:16
45,Cathy Bailey,,F,8:54,11:20,11:43,11:41,11:23,,,,55:01
46,Bill Barrons,,M,9:38,10:28,10:41,10:54,13:50,,,,55:31
47,Amy Bowers,,F,9:14,10:18,12:19,12:03,12:25,,,,56:19
48,Tobi Cawthra,,M,9:37,10:15,11:26,12:23,12:44,,,,56:25
49,Melissa Emanuel,,F,10:32,10:19,11:30,12:30,11:53,,,,56:44
50,David Heller,,M,8:55,11:23,12:04,12:02,12:22,,,,56:46
51,Brian Yoshino,,M,10:55,11:18,11:38,11:42,11:19,,,,56:52
52,Debbie Matitz,,F,9:37,10:59,12:31,13:36,12:04,,,,58:47
53,Greg Borowski,,M,10:29,11:13,12:15,12:35,12:19,,,,58:51
54,Chris Weber,,M,10:41,11:42,12:21,13:01,13:45,,,,1:01:30
55,Sandi Greenway,,M,10:13,12:20,12:53,12:57,13:54,,,,1:02:17
56,Chris Schreier,,M,11:10,11:36,12:27,13:26,14:27,,,,1:03:06
57,Jennifer Kislow,,F,16:34,10:11,11:37,12:29,12:30,,,,1:03:21
58,Ann Carroll,,F,11:31,12:06,13:20,12:20,14:50,,,,1:04:07
59,jill paha,,F,9:27,12:10,13:20,13:16,16:20,,,,1:04:33
60,Jennifer Ehrhardt,,F,10:00,12:27,13:07,14:30,18:28,,,,1:08:32
61,Monique McKnight,,F,10:34,11:43,12:57,13:39,19:42,,,,1:08:35
62,Amy Elmore,,F,7:36,8:56,11:04,10:25,,,,,38:01
63,Cathy Sharkey,57,F,8:22,9:01,9:51,10:50,,,,,38:04
64,Heather Campeau,,F,10:31,10:37,11:04,12:03,,,,,44:15
65,Brian Campeau,,M,10:32,10:42,11:04,12:05,,,,,44:23
66,Tracy Bisenius,,F,9:43,11:00,12:00,12:00,,,,,44:43
67,Som Phanouvanh,,M,9:53,11:31,12:36,14:01,,,,,48:01
68,Ashley Glembin,,F,11:23,12:43,12:21,12:55,,,,,49:22
69,Karen Johannes,,F,10:57,12:16,13:15,13:21,,,,,49:49
70,Becky Allen,,F,12:33,12:46,13:18,12:44,,,,,51:21
71,Lisa Flaherty,,F,11:08,13:09,13:33,14:10,,,,,52:00
72,Sydney Clark,,F,11:37,13:15,14:21,15:18,,,,,54:31
73,Kathy Aukland,,F,13:33,14:03,13:25,14:08,,,,,55:09
74,Erika Biemann,,F,11:27,12:54,14:03,17:16,,,,,55:40
75,Tom Lamke,,M,12:24,14:09,15:09,14:23,,,,,56:05
76,Linda Luedtke,,F,12:11,15:01,14:44,15:11,,,,,57:07
77,Amy Bustillos,,F,11:49,13:48,15:26,16:26,,,,,57:29
