FFA milwaukee
2019-3-10

100
1,Josh Duncan,41,M,6:19
2,Danielle Anton,31,F,6:21
3,Holly LaVesser,37,F,6:22
4,Keith Harvey,33,M,6:25
5,Sal Impellitteri,37,M,6:25
6,Jean-Roch Grenetier,55,M,6:33
7,ricardo contreras,23,M,6:37
8,Josh Jackett,39,M,6:38
9,Christopher Hart,48,M,6:51
10,Kyle Stelse,25,M,7:06
11,Paul Sanders,31,M,7:14
12,Brandon Hinneberg,25,M,7:14
13,John Richter,37,M,7:18
14,Joe Blankenheim,26,M,7:21
15,Jonah Packman,19,M,7:22
16,Kellon Whitley,30,M,7:24
17,Garrett Allen,38,M,7:26
18,Alex Stuckart,23,M,7:27
19,Jacob Thuli,14,M,7:27
20,Kai Anderson,46,M,7:29
21,Meghan Neu,32,F,7:30
22,Przemyslaw Krol,26,M,7:33
23,Rachel Illgen,21,F,7:34
24,Dan Kempel,38,M,7:37
25,Molly Bussie,30,F,7:39
26,Trent Schwartz,26,M,7:40
27,Chris Fox,29,M,7:42
28,Garrett Van Auken,37,M,7:43
29,Victor Vilar,39,M,7:44
30,Ryan Malesevich,33,M,7:47
31,Noah Wilkens,19,M,7:47
32,Matt Drzewiecki,27,M,7:49
33,Thomas Neary,33,M,7:49
34,Tyler Shernell,28,M,7:50
35,Regina Griffith,27,F,7:52
36,Donovan Burris,12,M,7:54
37,Hayley Serketich,24,F,7:59
38,Jay Pribek,27,M,8:00
39,Michael Schwartz,12,M,8:01
40,Ryan Hill,42,M,8:01
41,Ryan Maniscalco,44,M,8:01
42,Corey Tremaine,44,M,8:01
43,Dave Myers,32,M,8:02
44,Liam Doherty,47,M,8:02
45,Paul Watson,26,M,8:05
46,Gerald Wilkens,59,M,8:06
47,Sheryl Leonard-Schnec,54,F,8:07
48,Andrew Schulz,39,M,8:08
49,Shawn Hittman,41,M,8:09
50,Brian Tracy,56,M,8:09
51,Ian Oakes,26,M,8:10
52,London Chase,12,F,8:11
53,John Londre,29,M,8:12
54,Kathleen Hagen,27,F,8:13
55,Conor Blattner,12,M,8:13
56,Tom Kissner,58,M,8:13
57,Jamie Daun,38,M,8:14
58,Stacy Blattner,43,F,8:14
59,Mike Kodner,41,M,8:15
60,Riley Chase,9,M,8:16
61,Nicholas Burris,40,M,8:17
62,Ken Olszewski,59,M,8:18
63,Matt Klug,23,M,8:19
64,Nick Waszak,22,M,8:20
65,Daniel Regner,34,M,8:22
66,William Jacob,63,M,8:23
67,Michael Koepp,52,M,8:23
68,Ian Hensley,37,M,8:24
69,Domminyc Kershaw,10,M,8:24
70,James Jelen,13,M,8:25
71,lucas drumel,26,M,8:25
72,Matthew Vraney,27,M,8:26
73,Noah Nelson,26,M,8:27
