2019 FFA Springfield
2019-2-24

95 # 3:30 elite cutoff, 14 under that, 50 base, 9 people add 45 for 95 total 
1,Justin Stewart,31,M,02:16.00
2,Terry Purcell,48,M,02:28.80
3,John Osborn,45,M,02:36.20
4,John Wilmas,38,M,02:40.80
5,Timothy Kinkelaar,54,M,03:02.50
7,Kevin Durbon,28,M,03:03.00
6,Josh Duncan,41,M,03:16.20
382,Jacob Mileham,23,M,03:17.10
230,Gage Brust,17,M,03:19.70
84,David Greenwalt,53,M,03:22.30
12,Jock Cameron,57,M,03:22.90
10,Robert Klinko,44,M,03:25.80
86,Samuel Retzer,14,M,03:26.30
93,Melanie Mathewson,28,F,03:29.10
82,Brandon Roberts,48,M,03:32.80
88,Ronald Rice,47,M,03:38.80
8,Hal Carlson,66,M,03:40.50
83,Natalie Hudgens,44,F,03:40.60
9,Stephen Paca,48,M,03:43.70
18,William Sminchak,44,M,03:45.60
16,Cory Foster,33,M,03:48.00
14,Roxanne Sanchez,44,F,03:51.20
609,Marc Grigoroff,17,M,03:52.40
150,Craig Fiorito,32,M,03:55.00
354,Jay Weber,39,M,03:55.40
361,Daniel Connolly,51,M,03:56.30
191,Bianca Jones,30,F,03:56.70
196,Brian Strader,38,M,03:58.00
21,Lauren Boente,27,F,03:58.60
98,Francois Hanin,19,M,03:59.70
408,Robert Herrin,37,M,03:59.90
386,Talon Tapscott,21,M,04:01.90
372,Scott Mehring,38,M,04:02.60
353,Scott Smothers,41,M,04:05.30
17,Jill Paha,38,F,04:09.20
89,Joe Alger,36,M,04:10.70
331,Peyton Bergschneider,14,F,04:10.90
610,Tony Grigoroff,15,M,04:12.30
631,Justin Stewart,31,M,04:12.40
204,Jobi Tabb,44,F,04:13.40
11,Dan Schafer,28,M,04:14.20
144,Doug Marlow,55,M,04:14.60
205,Kristen Butcher,48,F,04:16.30
13,Bob Toews,56,M,04:16.40
29,Megan Marston,30,F,04:17.10
26,Steve Hanley,33,M,04:19.40
15,Brian Yoshino,43,M,04:20.40
370,Dan McCain,49,M,04:20.50
32,Steve Stermer,61,M,04:21.70
22,Karen Geninatti,61,F,04:22.80
97,John Freese,14,M,04:25.00
208,Brittany Rogers,28,F,04:26.40
624,Andy Bergscheider,,M,04:28.00
