2019 IDS minnesota 
2019-3-2

100
,Jason Larson,,M,07:07:00 AM
,Melissa Gacek,,F,08:17:00 AM
,Benjamin Bonis,,M,08:21:00 AM
,Jakob Baatrup-Sabo,,M,08:26:00 AM
,Kate Barnett,,F,08:39:00 AM
,Keith McIntire,,M,08:42:00 AM
,Elly Toth,,F,08:55:00 AM
,Bret Snyder,,M,08:59:00 AM
,Noelle Olson,,F,09:08:00 AM
,Joseph Daniski,,M,09:16:00 AM
,Brian Dobson,,M,09:23:00 AM
,Peter Baatrup,,M,09:28:00 AM
,John Sullivan,,M,09:34:00 AM
,Jorden Johnson,,F,09:43:00 AM
,Nam Truong,,M,09:45:00 AM
,Derek Allmendinger,,M,09:52:00 AM
,Rob Werling,,M,09:53:00 AM
,James Dickey,,M,09:54:00 AM
,David Behrens,,M,10:06:00 AM
,Larry Hennis,,M,10:15:00 AM
,Jason Stensland,,M,10:15:00 AM
,Nick Pilney,,M,10:19:00 AM
,Brenner Sandberg,,M,10:34:00 AM
,Jenna Wills,,F,10:58:00 AM
,Jeff Diiro,,M,11:08:00 AM
,Anand Divakaran,,M,11:33:00 AM
,Nathan Rausch,,M,11:35:00 AM
,Erin Good,,F,11:57:00 AM
,Lori Denzer,,F,12:24:00 PM
,Laura Greene,,F,12:33:00 PM
,Jacqueline Smothers,,F,12:44:00 PM
,Hude Zalid,,F,01:23:00 PM
,Conor Johnson,,M,01:37:00 PM
,Bob Hinkle,,M,01:45:00 PM
,Teresa Dahl,,F,01:48:00 PM
,Raelynn Sampson,,F,02:18:00 PM
,Samantha Neurer,,F,02:23:00 PM
,Micheal FALLON,,M,02:30:00 PM
,Sheila Pilney,,F,02:33:00 PM
,Joe Mottlow,,M,03:24:00 PM
,Steve Sturnt,,M,03:39:00 PM
,Oliver Fleming,,M,03:46:00 PM
,Paul Fallon,,M,03:58:00 PM
,Travis Greene,,M,04:04:00 PM
,Matt Medvec,,M,04:06:00 PM
,Craig Tupy,,M,04:07:00 PM
,Erin McKenna,,F,04:15:00 PM
,Daniel Neitz,,M,04:29:00 PM
,Nancy Powell,,F,04:58:00 PM
,Emily Anderson,,F,05:33:00 PM
,Dave Schurtz,,M,05:56:00 PM
,Austin Yantes,,M,06:41:00 PM
,Belen Fleming,,F,08:18:00 PM
,Miranda Doese,,F,25:08:00
,Kha Yang,,F,28:05:00
,Andrew Johnson,,M,01:42:05 AM
,Melissa Jacobson,,F,01:42:11 AM
,Keri Farrish,,F,01:42:16 AM
,Leslie Kent,,F,01:42:22 AM
,Peter Smothers,,M,01:59:03 AM
,Reed Salmon,,M,01:59:04 AM
,Krista Schnelle,,F,01:59:08 AM
,Brendon Prentice,,M,01:59:08 AM
,Dave Schurtz,,M,01:59:10 AM
,Jim Svare,,M,01:59:11 AM
,Kallijo Olson,,F,01:59:12 AM
,Julie Sabo,,F,01:59:16 AM
