2020 oakbrook triple
2020-2-8

50
1,Jesse Berg,,M
2,Dominic Steier,,M
3,Anthony Stark,,M
4,Dan Roelofs,,M
5,David Vogt,,M
6,Brody Mika,,M
7,Peter Murphy,,M
8,Kenneth Jones,,M
9,Alex Gatziolis,,M
10,Dale Mitchell,,M
11,Michael Fountain,,M
12,Dan Tunstall,,M
1,Angela Meltzer,,F
2,Lynn Degnan,,F
3,Lisa Beguhl,,F
4,Erica Zander,,F
5,Janis Dennis,,F
6,Lindsay Forsberg,,F
7,Diana Fowee,,F
8,Alexandra Adams,,F
9,Ania Ignas,,F
10,Erin Brand,,F
11,Alexis Dunne,,F
12,Heather Mika,,F
13,Lexi Zambrano,,F
14,Cassidy Mika,,F
15,Denise Bytnar,,F
16,Kathy Schuning,,F
17,Stella Logan,,F
18,Shira Tarby,,F
19,Nian Adams,,F
20,Maria Mitchell,,F
21,Lindsay Metzler,,F
22,Angela Robertson,,F
23,Nadege Njigeh,,F
24,Cheryl Jenkins,,F
25,Jo Booty,,F
26,Nicole Reeves,,F
27,Bobbie Smith,,F
28,Donna McKalip,,F
29,Henga Jamshad,,F
30,Evelyn Rodriguez,,F
31,Katie Ladd,,F
32,Heather Kastor,,F
33,Rina Cervone,,F
34,Kristen Chiaro,,F
35,Geneva Vera,,F
36,Maria Majewska,,F
37,Tenea Tyson,,F
38,Tatia Tyson,,F
39,Allison Valerio,,F
