Portland ALA
2020-3-1

100
,Tristan ROTH,35,M,4:49,4:38,4:44,4:54,4:55,23:57,
,Mark HENDERSON,57,M,4:45,5:09,5:21,5:10,5:02,25:27:00,
,Taylor OVERMILLER,30,M,5:10,5:50,6:01,6:10,5:37,28:46:00,
,Richard RACZ,28,M,4:52,7:52,6:16,5:47,5:24,30:10:00,
,Charles SUPAPODOK,52,M,4:41,7:04,6:17,6:14,6:12,30:26:00,
,Brian VINCI,39,M,5:27,6:25,6:34,6:03,6:04,30:32:00,
,Debbie OFFICER,51,F,5:52,6:21,6:36,6:31,6:31,31:49:00,
,Ted KETCHUM,28,M,6:01,6:41,6:54,6:33,6:54,33:02:00,
,Phillip TROST,43,M,6:25,7:01,6:48,6:48,6:44,33:45:00,
,Tanner MURPHY,27,M,6:36,7:00,7:46,7:22,7:24,36:06:00,
,John PALMER,41,M,6:55,7:38,7:40,7:29,7:32,37:12:00,
,Quinn GURDON,29,M,6:43,7:17,8:04,8:01,7:32,37:35:00,
,Beckett COLLING,12,M,7:35,7:56,7:46,7:18,7:34,38:07:00,
,Joshua YUN,26,M,6:41,7:19,7:43,8:07,8:20,38:09:00,
,Alexander NEU,34,M,6:47,7:41,7:53,8:19,7:39,38:17:00,
,Nicolas COTA,25,M,6:07,7:51,7:30,7:30,9:28,38:23:00,
,James TAYLOR,31,M,7:20,7:52,7:50,8:04,7:32,38:35:00,
,Shelley BLAKELY,45,F,7:34,7:46,7:38,7:53,7:50,38:38:00,
,Colleen SABOL,45,F,8:03,7:59,7:36,7:48,7:48,39:12:00,
,Joseph HOLLAND,32,M,7:21,8:16,8:12,8:07,7:53,39:46:00,
,James SHIBLEY,64,M,8:09,8:18,8:10,8:08,8:00,40:43:00,
,Josh RINALDI,36,M,7:48,8:25,8:03,8:16,8:23,40:53:00,
,John SATHRUM,28,M,7:55,8:14,8:49,8:23,8:18,41:39:00,
,Shane SKINNER,40,M,7:32,7:55,9:59,8:34,7:49,41:45:00,
,Steve GEIST,37,M,8:01,8:44,8:28,8:35,8:06,41:52:00,
,Eloise HOATLIN,41,F,7:55,8:34,8:39,8:29,8:25,42:02:00,
,Griffin PLENERT,25,M,6:31,8:16,10:03,9:05,9:39,43:31:00,
,Kira HANNUM,36,F,8:47,8:19,8:46,8:42,9:17,43:50:00,
,Kristy FLEMING,47,F,9:04,9:36,9:04,8:45,9:35,46:01:00,
,Daan DOMMELS,40,M,9:14,9:05,9:20,9:12,9:36,46:26:00,
,Renee H. K. LEBLOND,31,F,9:03,9:32,9:41,9:13,9:04,46:31:00,
,Curt VANDERZANDEN,54,M,8:03,9:47,9:20,9:39,9:52,46:39:00,
,Jennifer MASSEY,42,F,9:07,9:21,9:23,9:21,9:32,46:43:00,
,Clifford HORTON,35,M,8:02,9:55,9:54,9:41,9:21,46:51:00,
,Bryan MCCLURE,39,M,8:49,9:26,9:57,9:37,9:19,47:05:00,
,Mel LANDRUM,31,M,8:54,9:23,9:13,10:13,10:19,48:00:00,
,Poppy GLOCK,47,F,9:09,9:31,10:09,10:10,9:14,48:12:00,
,Jeffrey ROSS,68,M,11:02,9:43,9:29,9:28,9:21,49:01:00,
,Angie SINGLETON,32,F,8:36,10:11,10:11,10:17,9:58,49:10:00,
,Lori DILLING,39,F,8:59,9:37,10:34,9:59,10:18,49:26:00,
,Christopher HELGERSON,43,M,9:16,9:20,10:18,10:28,10:53,50:14:00,
,Gabrielle KEIZER,46,F,9:42,9:56,10:20,10:58,10:46,51:41:00,
,Lori TAYLOR,42,F,9:12,10:04,10:34,10:43,11:16,51:47:00,
,Timothy CALDERWOOD,49,M,9:54,10:23,10:18,10:46,10:48,52:07:00,
,Melissa SMITH,45,F,10:29,10:27,9:59,11:02,10:24,52:18:00,
,Tyler HOLAND,39,M,10:33,9:55,10:19,10:47,10:57,52:29:00,
,Ilona HYETT,36,F,10:06,10:43,10:25,10:50,10:33,52:35:00,
,Julie SANDERS,47,F,9:18,10:27,10:51,11:04,11:18,52:57:00,
,Ryan PARTRIDGE,48,M,9:59,10:16,10:12,10:22,12:09,52:57:00,
,Michele LEVIS,57,F,9:56,10:32,9:56,11:15,11:49,53:26:00,
,Heather LASKE,41,F,10:25,10:29,10:26,11:13,11:15,53:44:00,
,Chantal WIKSTROM,31,F,10:08,10:30,10:57,11:22,11:14,54:08:00,
,Christina GRIEVE,34,F,9:20,11:01,11:31,11:36,11:10,54:37:00,
,Michael GORDON,57,M,8:57,10:46,11:12,11:57,12:01,54:51:00,
,Priscilla THOMAS,41,F,10:33,11:05,11:03,11:15,11:23,55:17:00,
,Jeff HARLAN,61,M,9:33,11:36,11:47,12:12,11:45,56:52:00,
,Greg FRAZIER,49,M,10:29,10:20,11:29,12:04,12:50,57:10:00,
,Bodie SHAW,54,M,10:41,11:28,11:40,12:11,12:04,58:02:00,
