2022 Big Climb Alanta
2022-5-15

100
,Troy Alston,,M,4:56
,Maria Elisa Lopez Pimentel,,F,5:59
,Nick Santangelo,,M,6:58
,William Bruce,,M,7:09
,Debbie Officer,,F,7:32
,Mia Haggerty,,F,7:34
,Brandon Abernathy,,M,7:41
,Daniel Rayzel,,M,7:41
,Jordan Titshaw,,M,7:45
,Muriel Shimoni-Stoil,,F,7:56
,Matt Petrie,,M,7:59
,Olivia Morton,,F,8:07
,Thomas Andrews,,M,8:17
,Derek Clarkson,,M,8:26
,Joe Jansen,,M,8:28
,Adam Simon,,M,8:35
,Brandon Winn,,M,8:45
,Megan Guenther,,F,8:41
,James Bold,,M,8:41
,Joshua Jones,,M,8:45
,Jake D'Ambrosio,,M,8:48
,Rebecca Wright,,F,8:53
,Trenton Wagers,,M,8:58
,Mark Morton,,M,8:58
,Tommy Mampieri,,M,9:12
,Drew Richardson,,M,9:12
,Tammy Taylor,,F,9:16
,Chad Koenig,,M,9:23
,Chamberlynn Shelton,,F,9:32
,Itzel Trejo,,M,9:37
,Paul Oeland,,M,9:39
,Bill Zawrothy,,M,9:47
,Addison Meriwether,,M,9:54
,Lisa Carlson,,F,9:57
,Andrea St. Paul,,F,9:59
,George Olmstead,,M,10:06
,Brittany McGough,,F,10:15
,Daniel Shook,,M,10:17
,Mallory Abernathy,,F,10:21
,Alejandro Martinez,,M,10:21
,Glenn Kurta,,M,10:22
,Abby Brenller,,F,10:25
,Justin Victor,,M,10:27
,Mark Warren,,M,10:33
,James Gardner,,M,10:34
,Zoraida Jackson,,F,10:40
,Bryce Brannen,,M,10:47
,Hillyer Jennings,,F,10:47
,Jay Cronin,,M,10:50
,Kenneth Gaglia,,M,10:02
,Nasir Aziz,,M,10:52
,Daniel Husizer,,M,11:06
,Kimberly Whitehead,,F,11:07
,Samantha Kase,,F,11:10
,Michelle Sands,,F,11:12
,Marija George,,F,11:15
,Sarah Kate Pospisil,,F,11:15
,Sarah Paris,,F,11:16
,Caroline Nolen,,F,11:16
,Morgan Lyons,,F,11:17
,Michael Karamat,,M,11:17
,Gerald Tracey,,M,11:18
,Michael Polk,,M,11:23
,Camille Ganey,,F,11:23
,Malcolm Metcalf,,M,11:32
,Gregg Metcalf,,M,11:36
,Touie Metcalf,,F,11:43
,Barry Lloyd,,M,11:46
,Lauren McCowin,,F,11:49
,Navia Penrod,,F,11:51
,Emily Waid,,F,11:52
,Angela Graham,,F,11:56
,Ashley Garner,,F,11:57
,Kerri Gurley,,F,11:58
,Shanee Herrod,,F,12:08
,Carlous Nipper,,M,12:10
,Jeffrey Jones,,M,12:11
,Lindsay Holmes,,F,12:15
,Robert Reinecker,,M,12:16
,Jere Metcalf,,M,12:16
,Elezar Garcia,,M,12:25
,Randall Blake,,M,12:31
,Donald Moore,,M,12:41
