Big Climb Houston 2022
2022-4-2

100
,Wai Ching Soh,,M,5:21
,Nathan Marchant,,M,6:45
,Douglas Schroeder,,M,7:50
,Verity Rees,,F,8:19
,Ted Hocter,,M,8:23
,Jeffrey Wensrich,,M,8:37
,Darlene Perdue,,F,9:17
,Ryan Lancaster,,M,9:23
,Juan Reyes,,M,9:27
,Kevin Biggens,,M,9:30
,John Burton,,M,9:35
,Nick Stevens,,M,9:45
,Polly Warriner,,F,10:06
,David Lee,,M,10:18
,Grace Buse,,F,10:29
,Dylan Canfield,,M,10:31
,Gerrit vonWenckstern,,M,10:40
,Jessica Harless,,F,10:46
,Jonathan Deleef,,M,11:00
,Jeffrey Sorkin,,M,11:04
,Brandt Leibe,,M,11:05
,Kaitlyn Harless,,F,11:07
,Kaleb Rovelo,,M,11:08
,Elijah Childressproctor,,M,11:12
,Carmen Harless,,F,11:15
,Mike Lancaster,,M,11:16
,Rachel Gottschalk,,F,11:18
,Geovany Reyes,,M,11:27
,Lance Babcock,,M,11:27
,Alex Zimmerman,,M,11:28
,Ethan Kimes,,M,11:29
,Lucian Calderon,,M,11:38
,Craig Stanfield,,M,11:38
,Jason Fuqua,,M,11:39
,Dave Saleebey,,M,11:39
,Carlos Paramo,,M,11:43
,Jose Rodriguez,,M,11:44
,Aiden Gross,,M,11:46
,Gabriel Diamond,,M,11:50
,Brandon Sorkin,,M,11:53
,Ethan Abramson,,M,11:54
,Elizabeth Taber,,F,12:00
,White Diaz,,M,12:00
,Alexander Raizner,,M,12:01
,Macario DePaz,,M,12:02
,olga cach,,F,12:03
,Eric Espiritu,,M,12:03
,Isaac DePaz,,M,12:04
,Oliver Thoma,,M,12:07
,Priscilla Martinez,,F,12:08
,Jordan Gorewitz,,M,12:18
,Treveyon DeBoest,,M,12:20
,Mayra Rodriguez,,F,12:25
,Timothy Eppes,,M,12:27
,Adam Bennett,,M,12:34
,Ashley Wensrich,,F,12:35
,Fernando Rodriguez,,M,12:37
,Gizele Borrego,,F,12:40
,Rebecca Fessler,,F,12:41
