2024 race to the summit
2024-4-21

75
1,DAVID ROESKE,, M,12:05.5
2,JILL PAHA,, F,12:38.1
3,STEPHEN MARSALESE,, M,12:39.8
4,TIMOTHY CLARKE,, M,13:30.1
5,JOSEPH DEVITO,, M,13:43.6
6,TERENCE MORIARTY,, M,13:45.1
7,STEPHEN TANZOSH,, M,13:47.5
8,GARRETT LANGDON,, M,14:08.4
9,ROBERT FREDETTE,, M,14:14.1
10,HARRISON LAUER,, M,14:14.8
11,CHRIS VAN GLAHN,, M,14:16.3
12,BRIAN CLARKE,, M,14:24.4
13,JONATHAN SUMMERS,, M,14:31.4
14,EMMET MEEHAN,, M,14:38.8
15,ROBERT O'BRIEN,, M,14:51.9
16,CONNOR DOWNEY,, M,15:07.0
17,DANTE PICCOLO,, M,15:11.1
18,ERICH SMITH,, M,15:11.2
19,JARED SCHNEPP,, M,15:21.1
20,DANIEL BERGEN,, M,15:21.7
21,NICHOLAS ALTIERI,, M,15:21.7
22,JOEL HORVATH,, M,15:22.1
23,VINNY CORALLO,, M,15:22.3
24,DEYSHAWN WILLIAMS,, M,15:25.8
25,MARC DCHIUTIIS,, M,15:27.7
26,EDWARD PARRA,, M,15:32.8
27,GERARDO VIDAL,, M,15:34.9
28,JOE ROMERO,, M,15:35.6
29,MATT RITCHIE,, M,15:37.1
30,TIMOTHY PHILLIPS,, M,15:45.1
31,JOE ROMEO,, M,15:47.8
32,MATT DISPENSA,, M,15:48.1
33,GEORGE KASTROUNIS,, M,15:49.1
34,MUHAMED AKSABANAJ,, M,15:50.1
35,JACK ROSS,, M,15:53.6
36,LANIER BROWN,, M,15:59.5
37,PETER SCHUBERT,, M,16:02.9
38,JOSE SOTO,, M,16:05.2
39,BILL LILLEY,, M,16:07.5
40,JOE MEAGHER,, M,16:12.2
41,ELLIOT DENNIS,, M,16:13.0
42,JAMES LARSTANNA,, M,16:16.2
43,KEVIN GORDON,, M,16:17.0
44,ADAM BAUER,, M,16:20.7
45,ALEX LUTFI,, M,16:21.7
46,RAYMOND ZIMLIN,, M,16:25.9
47,ARIE FISCHMAN,, M,16:26.2
48,RICHIE MAHON,, M,16:26.8
49,JUAN OSORNO,, M,16:31.0
50,JOSEPH TODARO,, M,16:31.4
51,PHILIP MANTI,, M,16:33.5
52,CHRIS GURSKI,, M,16:33.5
53,NIALL ROUSE,, M,16:35.1
54,ANDREW GUARRASI,, M,16:35.3
55,NIKOLA COSIC,, M,16:38.0
56,CHRISTOPHER KANG,, M,16:40.3
57,JOHN PRITCHARD,, M,16:40.3
58,THOMAS MADONNA,, M,16:45.8
59,ROBERT HELENEK,, M,16:45.9
60,RAFAEL RODRIGUEZ,, M,16:46.0
61,JUSTIN ZUCKERMAN,, M,16:50.3
62,KAROL MATERNA,, M,16:54.9
63,MICHEL NOEL,, M,VICTO
64,FRANKIE DADES,, M,16:57.9
65,MATTHEW RYNNE,, M,16:59.6
66,DANIEL SCHIMEK,, M,17:00.4
67,MICHAEL MARATTA,, M,17:04.5
