2024 FFA providence
2024-4-29

50
,Troy Alston,37,M
,Mike Maitem,58,M
,Michael Potacco,39,M
,Albert Flottmeyer,24,M
,Robert Quintin,39,M
,Raymond Iannuccillo,34,M
,Joe Reverdes,56,M
,Rob Adams,47,M
,Stephanie Casillas,42,F
,Paul Curley,68,M
,Ginelle Price,32,F
,Raymond Duquette,44,M
,Ross Berge,37,M
,Alysha Freeman,35,F
,Bill George,2:13.7,M
,Joseph Lopatosky,42,M
,Matt O'Dowd,28,M
,Jay Green,47,M
,Viet Le,43,M
,Patrick Brown,36,M
,Loi Ngu,23,M
,Garrett McDonough,49,M
,Vivi Krosi,58,F
,Jeremy Batista,26,M
,Joseph Primavera,30,M
,Tim Powell,58,M
,Michelle Dias,52,F
,Nicole Picard,37,F
,Jason Aliotta,52,M
,James Cole,50,M
,Timothy Bentley,35,M
,Julia Carter,24,F
,Brooke Britt,25,F
,Christian Colavecchio,30,M
,Kerri Jenkins,38,F
,Shawn Giatas,34,M
,Aliya Ahmed,34,F
,Jodie Vilardi,53,F
,Hannah Burnes,33,F
,Diane Washburn,52,F
,Crystal Clayton,38,F
,Manuel Cruz,33,M
,Brian Iannuccillo,26,M
,Joey Clayton,26,M
,Cara Coogan,29,F
,Lexi-Amber Hassell,27,F
,Matthew Sullivan,47,M
,Alessandra Martellini,21,F
,Keera Albergaria,2:54.5,F
,Jason Moura,2:56.2,M
,Athena Silva,26,F
,Christopher Higgins,32,M
,Noa Juarez,49,F
,Jennie Renshaw,38,F
,Nicholas Powers,35,M
,Amber Dormer,33,F
,E. Archambault,12,F
,Nikayla Brown,37,F
,Alex Sugalski,35,M
,Kenneth Demers,51,M
,Rosie Peterson,33,F
,Robert Forand,43,M
,Mark Salisbury-Thompson,36,M
,Giana Ferreira,24,F
,Jennifer Stearns,54,F
,Nicholas Ferrer,38,M
,Alicia Golomboski,32,F
,Joshua Smith,46,M
,Richard Regnante,49,M
,Laura Kilcline,32,F
,Matt Espeut,55,M
,Steven Daunais,52,M
,Holly Pacheco,3:14.9,F
,Robert Sims,61,M
,Stafford Mack,64,M
,Caroline Baglini,25,F
,Trish Horgan,46,F
,Carsyn Troiano,21,F
,Annamaria Salemi,67,F
,Cori O'Connor,31,F
,R. Haluska,12,M
,Lise Baker,62,F
,Felicia Marcello,28,F
,Dylan Marrapese,27,M
,Angela Mendez,33,F
,Nakita Guerrouxo,29,F
,Daniel Hultquist,33,M
,Sandy Restrepo,40,F
,Ted Wheeler,70,M
,Donna Alexander,64,F
,Greg Salgueiro,51,M
,Lisa Myrberg,45,F
,Edward Fiorentino,58,M
,Megan Barry,27,F
,Graham Cabrey,37,M
,Kyle Ramos,32,M
,Zacary Simoneau,27,M
,Allissa Archambault,45,F
,Thomas Varatta,41,M
,Katherine Dormer,33,F
,Ashley Gauthier,36,F
,Adam Maroney,30,M
,Janet Peters,57,F
,Allison Lipka,32,F
,Mark Thompson-Salisbury,31,M
,Lee Procter,48,F
,Melissa Costa,50,F
,Emily Martin,42,F
,Melissa Fogg,51,F
,Maureen Faherty,47,F
,Karyn McDonald,55,F
,Matt D'Ambra,30,M
,Barbara Gutierrez,51,F
,Jennifer Salpietro,51,F
,Kevin Roy,28,M
,Edmond Clark,67,M
,Ty Troiano,16,M
,David Sinapi,69,M
,Drew Haxton,30,M
,Michael Arpin,40,M
,Alyssa McDermott,30,F
,Maddie Welch,16,F
,Donna Arpin,59,F
,Melissa Mirabile,45,F
,Maryanna Aldrich,40,F
,Justin Hopper,3:57.3,M
,Theodore Kounavis,54,M
,Steve Morin,52,M
,Meredith Marrapese-Cahoon,55,F
,Melody Gamba,43,F
,Davida Marrapese,55,F
,Michael Bonitati,65,M
,Michael Debroisse,58,M
,Scott Ferreira,57,M
,Michele Debatis,55,F
,Mark Pesce,42,M
,J. Broccoli,44,M
,Juliana Aliotta,14,F
,Nadia Abdalla,37,F
,Kelsey Ahmed,32,F
,Lindsay Young,33,F
,David Marrapese,63,M
,Kimberly Reverdes,53,F
,Sara Perkins,36,F
,Scott Elliott,23,M
,Jason Jenkins,41,M
,Eric Maluk,50,M
,Maria Iannuccillo,32,F
,Nicole Williams,4:12.1,F
,Madison Varatta,14,F
,Diana Abdalla,36,F
,Jordan Dwyer,22,F
,Alyssa Arpin,15,F
,Stephanie Shumaker,49,F
,Chloe Grenga,33,F
,Heather Aliotta,52,F
,Joe Mattiello,32,M
,Sarah M,37,F
,Michelle Mulick,53,F
,Samantha Levy,30,F
,Bridget Nannini,50,F
,Sherri Pelletier,4:30.6,F
,Richard Zambarano,50,M
,Anthony Hunter,52,M
,Shannon Ruff,46,F
,Clare Tammelleo,64,F
,Jay Marrapese,62,M
,Melanie Dubois,51,F
,James Given,59,M
,Elise Cracco,24,F
,Caitlyn Bradley,4:42.7,F
,Erika Paiva,42,F
,Gillian Moore,46,F
,Paul Dimeo,64,M
,Sharon Moitoso,52,F
,Megan Salgueiro,51,F
,Karen Murphy,58,F
,Veronicka Vega,24,F
,Amy Gray,49,F
,Mary Keszler,71,F
,Spaina Cruz,53,F
,Kelsey Forcier,36,F
,Alicia Capellan,38,F
,Ashley Kapko,30,F
,Artie Pierce,38,M
,Sharon Andre,50,F
,Madyrose Bonilla,32,F
,Keri Martino-Pickett,50,F
,Kaitlyn Iannone,38,F
,Teresa Blairperez,51,F
,Kayla Farnum,37,F
,Roger Picard,67,M
,Karen McGuire,72,F
,Peter Kendrick,45,M
,Meg Runyan,32,F
,Brenda Figueroa,50,F
,Luis Rondon,34,M
,Andi Rioles,64,F
,Mike Rohelia,58,M
,Deborah Ide,64,F
,Louise McLaughlin,65,F
,Mikayla Pope,36,F
,Carrie Gizienski,47,F
,June Mousseau,52,F
,Michael Kolb,65,M
,Dorothy Hanson,66,F
,Krista Imondi,36,F
