2024 ffa KC
2024-3-3

50
,Benjamin Smail,,M,5:09.0
,Owen Filing,,M,7:19.8
,Tyler Geiman,,M,7:31.2
,Christian Gutierrez,,M,8:01.2
,Stephen White,,M,8:04.2
,Jason Rasberry,,M,8:06.8
,PORTER PHILLIPS,,M,8:08.5
,Conor Rock,,M,8:09.1
,Kevin Ewens,,M,8:15.9
,Jacob McGowan,,M,8:17.9
,Morgan Riggs,,M,8:24.0
,Matthew Tucker,,M,8:30.0
,Kevin Pinkowski,,M,8:31.0
,Kevin Heaton,,M,8:38.7
,Jim Ford,,M,8:39.7
,Bryan Cole,,M,8:40.3
,Matthew Prindle,,M,8:43.6
,Justin Stryker,,M,8:54.6
,Mario Castro,,M,8:56.3
,Meredith Katzman,,F,8:56.4
,Danny Wastler,,M,9:08.3
,Braydon Thurston,,M,9:09.1
,Michael Parris,,M,9:14.1
,Katie Gaebel,,F,9:18.4
,Daniel Kim,,M,9:36.7
,Tyler Dalrymple,,M,9:43.4
,CARSON PHILLIPS,,M,9:45.6
,Collin Van Sloten,,M,9:47.6
,Lindsey Baudoin,,F,9:56.1
,Danny Wais,,M,9:56.6
,Matthew Patterson,,M,9:57.6
,David Gillespie,,M,10:00.4
,Faith Rottinghaus,,F,10:02.3
,Erik Lund,,M,10:03.3
,Cory Bittner,,M,10:07.0
,Jackson Stafford,,M,10:12.7
,Jennifer Banek,,F,10:16.1
,Colt Sanders,,M,10:17.8
,Brandon Malfer,,M,10:18.0
,Chris Leheney,,M,10:24.0
,Ray Kopek,,M,10:33.1
,M. Edgar,,M,10:38.1
,Jobe Mennecke,,M,10:38.5
,Jake Robertson,,M,10:40.2
,Kristen Leathers-Gratton,,F,10:44.0
,James Schueler,,M,10:51.4
,Dennette Wiedmeyer,,F,10:52.6
,Edwin Vazquez,,M,10:54.7
,DEXTER PHILLIPS,,M,10:55.0
,Brandon Brazda,,M,10:56.1
,Shelby Campbell,,F,11:03.7
,Makenzie Keel,,F,11:07.0
,Kaitlyn Cody,,F,11:08.4
,E. Edgar,,M,11:15.9
,Annie Pieper,,F,11:16.9
,Amanda Roberts,,F,11:17.9
,Alayna Chipman,,F,11:22.5
,Julie Annett,,F,11:25.0
,M. McNamee,,F,11:27.2
,Christopher Wiedmeyer,,M,11:27.3
,Debra Nordyke,,F,11:28.6
,Nathan Wirth,,M,11:33.6
,Peggy Cox,,F,11:36.4
,Joe Piccinini,,M,11:37.9
,Katherine Laning,,F,11:38.0
,Lindsay Wright,,F,11:44.0
,John Munz,,M,11:46.6
,Vlado Gjorgjioski,,M,11:47.4
,Scott McAdams,,M,11:50.6
,Melinda Roll,,F,11:51.0
,Michael Filing,,M,11:56.6
,Lauren Marcucci,,F,12:00.0
,Sam Small,,M,12:02.5
,Denise Whiteman,,F,12:03.9
,Greg Stephan,,M,12:07.0
,Emily Smith,,F,12:09.9
,Tess Virden,,F,12:11.1
,Monique McDaniel,,F,12:18.5
,Erica Kobleski,,F,12:18.7
,Fidel Melgoza,,M,12:19.3
,John Crawford,,M,12:21.0
