2025 FFA Columbus, OH,,,,,
2025-02-22,,,,,,
,,,,,,
50,,,,,,
    1,Todd Suszynski,  52,M,   5:41.4,,
    2,Ben Lefor,  15,M,   6:17.4,,
    3,Dan Hartman,  63,M,   6:19.0,,
    4,Tricia Davis,  32,F,   7:08.9,,
    5,Santino Auddino,  21,M,   7:28.4,,
    6,Brian Stanfill,  66,M,   7:38.3,,
    7,Christopher Hurd,  19,M,   7:46.3,,
    8,Sarah Meyer,  38,F,   7:47.2,,
    9,Rhiman Samant,  13,M,   8:01.8,,
   10,Lucas Colburn,  24,M,   8:13.2,,
   11,Phillip Disilvestri,  24,M,   8:14.4,,
   12,Jeanine Kissinger,  64,F,   8:15.1,,
   13,Dominic Auddino,  22,M,   8:15.1,,
   14,Antonio Auddino,  55,M,   8:17.6,,
   15,Eric Kaiser,  14,F,   8:34.4,,
   16,Jack Henderson,  12,M,   8:34.5,,
   17,Michelle Manning,  52,F,   8:37.7,,
   18,Maria Cramer-Kirkpa,  47,F,   8:38.9,,
   19,Emily Polko,  35,F,   8:40.0,,
   20,Erik Schuller,  36,M,   8:45.4,,
   21,Christina Harris,  29,F,   8:46.1,,
   22,Alex Polko,  30,M,   8:49.4,,
   23,Owen Root,  14,M,   9:00.7,,
   24,Nathan Perry,  30,M,   9:05.9,,
   25,Ethan Root,  14,M,   9:15.0,,
   26,Rachel Du,  34,F,   9:16.9,,
   27,Jake Friday,  25,M,   9:17.4,,
   28,Michael Pfaff,  46,M,   9:23.1,,
   29,Holly Gates,  61,F,   9:24.3,,
   30,Eliana Lefor,   8,F,   9:25.6,,
   31,Jack Dury,  13,M,   9:28.5,,
   32,Michele Auddino,  27,M,   9:36.2,,
   33,Samuel Foster,  20,M,   9:39.7,,
   34,Payton Root,  14,F,   9:43.0,,
   35,Ronald Dury,  75,M,   9:43.1,,
   36,Richard Lemonds,  62,M,  10:00.2,,
   37,Tania Samant,  13,F,  10:00.4,,
   38,Adam Keating,  47,M,  10:05.0,,
   39,Tony Moore,  44,M,  10:05.9,,
   40,Kelly Messerly,  47,F,  10:07.0,,
   41,Sameh Mikhail,  47,M,  10:15.2,,
   42,Rachelle Brown,  32,F,  10:19.9,,
   43,Misty Hill,  50,F,  10:20.1,,
   44,Jack Capuno,  20,M,  10:24.5,,
   45,Jennifer Bauer,  51,F,  10:29.5,,
   46,Tao Zhang,  35,M,  10:31.6,,
   47,Donte Rhodes,  55,M,  10:41.3,,
   48,Kyleen Rothermel,  39,F,  10:44.3,,
   49,Kyle Heavrin,  38,M,  10:45.7,,
   50,Griffin Tullis,  28,M,  10:48.1,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,       Pag,e 2
,                Figh, for,t,,,
,,,,,,
,              Februa,y 22,r,o,,
,,,,,,
,,,,,,
,                ====,#NAME?,=,,,
,,,,,,
Place,Name, Age,S,Time,,
Err:510,Err:510, ===,=,Err:510,,
   51,Craig Richardson,  49,M,  10:49.8,,
   52,Chuck Gates,  58,M,  10:51.8,,
   53,Jared Puckett,  27,M,  10:55.1,,
   54,Stafford Mack,  65,M,  10:55.5,,
   55,Elaina Richardson,  17,F,  10:57.4,,
   56,Todd Shelton,  46,M,  10:58.3,,
   57,Jamie Henderson,  39,F,  11:06.2,,
   58,Olivia Sivak,  22,F,  11:10.4,,
   59,Katy Tombaugh,  44,F,  11:18.1,,
   60,Zach Bush,  42,M,  11:19.1,,
   61,Ava Capuno,  16,F,  11:20.5,,
   62,Tim Malloy,  55,M,  11:20.9,,
   63,John Puckett,  58,M,  11:28.0,,
   64,Michael Capuno,  48,M,  11:30.2,,
   65,Amy Wagers,  40,F,  11:31.7,,
   66,Dria Brown,  29,F,  11:35.2,,
   67,Angela Wagers,  61,F,  11:36.3,,
   68,Rewa Bhide,   9,F,  11:40.0,,
   69,Brian Dudley,  45,M,  11:41.1,,
   70,Sherrie Matteson,  70,F,  11:41.2,,
   71,Emily Seymour,  41,F,  11:41.6,,
   72,Kyle Koehler,  36,M,  11:43.0,,
   73,Scott Bauer,  59,M,  11:43.0,,
   74,Ella Dudley,  12,F,  11:48.0,,
   75,Lindsay McIlwain,  30,F,  11:49.0,,
   76,Melissa Grooms,  29,F,  11:51.6,,
   77,Sydney Von Der Embs,  30,F,  11:52.2,,
   78,Sejal Joshi,  12,F,  11:53.1,,
   79,Karthik Avadhanula,  39,M,  11:58.9,,
   80,James Longworth,  51,M,  12:08.0,,
   81,Vinayak Parvate,  57,M,  12:09.7,,
   82,Daniel Allen,  65,M,  12:15.8,,
   83,Luke Sharb,  23,M,  12:17.9,,
   84,Richard Moore,  34,M,  12:18.3,,
   85,Erin Hogan,  42,F,  12:19.6,,
   86,Miriam Siegfried,  65,F,  12:22.1,,
   87,Hannah Puckett,  24,F,  12:25.4,,
   88,,,,  12:25.4,,
   89,Nikki Lefor,  45,F,  12:26.4,,
   90,Bryce Roten,  30,M,  12:27.5,,
   91,Ally Hurd,  21,F,  12:27.9,,
   92,Julia Puckett,  57,F,  12:28.2,,
   93,Adrienne Eldridge,  41,F,  12:32.9,,
   94,Lauren Klocinski,  29,F,  12:33.8,,
   95,Sierra Miller,  28,F,  12:34.7,,
   96,Jordan Tucci,  34,M,  12:36.2,,
   97,Melissa Tilton,  52,F,  12:36.8,,
   98,Rolland Hurd,  81,M,  12:37.2,,
   99,Kim Norris,  46,F,  12:37.5,,
