2025 oakbrook single 
2025-3-9

65
,Jill Paha,,F,3:35.1
,Nicole Robbins,,F,3:52.7
,Brian Rummelhart,,M,3:58.9
,Nicholas Curcio,,M,4:02.4
,Josh Jackett,,M,4:20.8
,Christopher Mileto,,M,4:21.2
,Jorge Padron,,M,4:22.0
,Robert Klinko,,M,4:44.2
,Tom Andreesen,,M,4:50.3
,Dominic Steier,,M,5:02.6
,Random Johnson,,M,5:04.6
,Random Johnson,,M,5:04.6
,Sheryl Leonard-Schneck,,F,5:09.4
,Michael Fehlman,,M,5:21.9
,Jeffrey Chun,,M,5:26.5
,Matt Rizzo,,M,5:26.8
,Bahram Forouhi,,M,5:32.6
,Dan Bles,,M,5:36.1
,Angela Chiappetti,,F,5:39.4
,Alex Russeau,,M,5:40.3
,Joel Eurich,,M,5:41.1
,Jennifer Borja,,F,5:42.0
,Andy Hanson,,M,5:42.4
,Karen Geninatti,,F,5:42.7
,Tom McGee,,M,5:47.7
,Nolan Hoback,,M,5:50.7
,Melchor Varela,,M,5:55.3
,George Jeka,,M,5:59.5
,Chris Dienberg,,M,6:00.1
,Mike McGovern,,M,6:05.0
,Theodore Lockhart,,M,6:05.2
,Heidi Schmidt,,F,6:05.3
,Dave Stevenson,,M,6:07.9
,Kelly Jankowski,,F,6:08.8
,Travis George,,M,6:09.3
,Sonia Kazmierczak,,F,6:14.9
,Brian Mulford,,M,6:16.6
,Yannick Kazmierczak,,M,6:16.9
,Morgan Abate,,F,6:18.1
,Jerber Mendoza,,M,6:20.4
,Jen Kelly,,F,6:24.2
,Annika Weckerle,,F,6:24.6
,Mike Harris,,M,6:26.7
,Michael Rubo,,M,6:29.3
,Brian Loiacono,,M,6:31.9
,Paul Green,,M,6:32.7
,Debbie Meyers,,F,6:34.4
,Christopher Kwak,,M,6:36.7
,Jack Anderson,,M,6:37.0
,Jack Jones,,M,6:39.2
,Thomas Cook,,M,6:39.4
,Dustin Hirner,,M,6:39.4
,John Jeka,,M,6:41.9
,Kathy Kelly,,F,6:43.4
,Ryder Federico,,M,6:45.0
,Joe Maguire,,M,6:45.7
,Stefanie Day,,F,6:45.8
,Thomas Schneck,,M,6:46.4
,Ryan Hernandez,,M,6:46.6
,Randy Geils,,M,6:47.5
,Mark Jones,,M,6:48.8
,John D Vogel,,M,6:53.4
,Adrian Lisowski,,M,6:53.8
,Aaron Bonja,,M,6:54.5
,Kendall Barlass,,F,6:54.6
,Caroline Morrissey,,F,6:58.7
,Stephanie Nowicki,,F,7:01.7
,Michael Penk,,M,7:02.1
,Daniel Nelson,,M,7:03.4
,Pam Sau,,F,7:04.5
,Eric Schwartz,,M,7:06.7
,Ryan Bernabei,,M,7:07.8
,Cindy Gonzalez,,F,7:08.7
,Nick Hitzler,,M,7:11.6
,Santos Bahena,,M,7:12.3
,Jason Sapet,,M,7:12.8
,John Green,,M,7:13.8
,Eva Majuskas,,F,7:14.4
,John Peeler,,M,7:16.0
,Janee Hallahan,,F,7:16.2
,Calum Rogers,,M,7:16.5
,John Angelovich,,M,7:17.0
,Eamon McDonnell,,M,7:19.2
,Joy Vrchota,,F,7:20.5
,Anthony Hallahan,,M,7:21.1
,Jazmine Constantino,,F,7:23.1
,Anna Whittles,,F,7:23.4
,Chang Chong,,M,7:24.3
,Stacy Politza,,F,7:24.4
,Samuel Cubberley,,M,7:24.5
,Kohmela Grier,,F,7:27.9
,Andrea Brackett,,F,7:28.2
,Mary Scheidel,,F,7:28.2
,Rich Kimball,,M,7:30.5
,Mark Willobee,,M,7:31.2
,Anthony Porter,,M,7:33.0
,Jeffrey Kushner,,M,7:38.5
,Omar Ghazalett,,M,7:39.0
,WILLIAM SCHULENBERG,,M,7:42.8
,Beth Smith,,F,7:46.0
,Frannie Cramton,,F,7:46.4
,Jeff Craig,,M,7:46.5
,Alison Fudacz,,F,7:47.1
,Danielle Gladfelder,,F,7:50.2
,Jim Janetpoulos,,M,7:51.1
,Pamela Kunkel,,F,7:53.1
,Janet Narey,,F,7:53.7
,David Willard,,M,7:56.7
,Joey Amato,,M,7:58.3
,Carolyn Stephens,,F,7:58.7
,Dimitri Giannopoulos,,M,8:01.6
,Connor Cummings,,M,8:01.7
,Linchong Toondarack,,F,8:03.1
,Mica Brooks,,F,8:03.9
,Joshua Collier,,M,8:04.2
,Mary Ann Oliver,,F,8:04.2
