2025 FFA albuquerque
2025-4-26

50
1,Troy Alston,,M,01:59.19
2,Ezekiel Graham,,M,02:05.36
3,Ben Rubin,24,M,02:18.86
4,Morgan Mahboub,32,M,02:27.09
5,Guy Pedrotty,30,M,02:28.47
6,Jacob Pacheco,21,M,02:30.04
7,William Blake,32,M,02:41.15
8,Mark Ewell,52,M,02:41.77
9,Mark Ewell,52,M,02:44.29
10,Joshua Quintana,37,M,02:46.72
11,Troy Alston,38,M,02:46.77
12,Yvonne Serna,,F,02:47.24
13,James Ortiz,41,M,02:47.41
14,Derek Randle,52,M,02:51.45
15,Silas Dowdican,18,M,02:59.06
16,Ryan Klein,36,M,02:59.56
17,Julian Lopez,51,M,03:01.10
18,Dylan Chandler,,M,03:05.47
19,Merek Sievert,,M,03:08.71
20,Brogan Wood,,M,03:13.61
21,Benjamin Tracy,,M,03:14.16
22,Shawn Chacon,,M,03:16.98
23,Michelle Claudet,,F,03:17.80
24,Jarrod Montoya,35,M,03:17.88
25,Grant Taylor,43,M,03:30.18
26,Quinn Wingerd,40,M,03:30.87
27,Frank Salas,42,M,03:39.26
28,Trenton Segura,,M,03:41.12
29,Abner Soto,28,M,03:44.53
30,Rich Dowdican,51,M,03:44.92
31,Emily Schmiclt,,F,03:45.92
32,Duane Ross,63,M,03:45.95
33,Elijah Wall,22,M,03:47.23
34,Tim Johnson,46,M,03:48.02
35,Mark Ortiz,39,M,03:49.22
36,Seth Nieto,,M,03:49.29
37,Cara Dean,,F,03:53.10
38,Ryan Culler,45,M,03:55.20
39,Heidi Pitts,52,F,03:55.35
40,Kaaliyah Hairston,,F,03:58.11
41,Yuliya Matlashova,32,F,04:01.27
42,Jim White,52,M,04:01.39
43,Jesse Johnson,30,M,04:05.14
44,Caleb Devauassoux,,M,04:07.34
45,Elizabeth Archuleta,42,F,04:08.63
46,Dionne Jones,36,F,04:09.09
47,Ruby Palko,,F,04:09.40
48,Shania Gallegos,29,F,04:12.48
49,Kathleen Warnock,33,F,04:15.83
50,Landon Paschall,,M,04:16.74
51,Josh Romero,27,M,04:16.84
52,Tony Donio,29,M,04:19.68
53,Adam Alvarez,40,M,04:21.26
54,Matreo Nesplolo,,M,04:21.30
55,Reyna Lujan,45,F,04:23.96
56,Pamela Blackwell,51,F,04:25.84
57,Ronnie Covel,,F,04:26.39
58,Austin Baird,31,M,04:26.51
59,Van Eldredge,59,M,04:27.77
60,Liam Hernandez,,M,04:29.42
61,Tracy Abeyta,55,F,04:29.98
62,Kirk Plyler,52,M,04:30.01
63,Susan Lash,65,F,04:31.10
64,Cole Plyer,22,M,04:32.46
65,Adria Padilla,46,M,04:33.45
66,Lauren Townsend,49,F,04:33.59
67,Joseph Lex,41,M,04:34.06
68,Daniel Cheshire,43,M,04:35.76
69,Chris Johnson,33,M,04:40.92
70,Jesse Cheshire,44,F,04:41.55
71,Kimberly Baros,43,F,04:43.47
72,Evelyn Evora,24,F,04:43.86
73,April Thompson,36,F,04:44.31
74,Enzo Dinaro,53,M,04:44.44
75,Jessica Duron-Martinez,44,F,04:44.64
76,Kevin Burns,38,M,04:45.30
77,Marisa Pinon,45,F,04:50.07
78,Aaron Pinon,,M,04:51.31
79,Joann Lujan,61,M,04:52.19
80,Mariano Garcia,38,M,04:53.20
81,Barry Funon,40,M,04:54.35
82,Dawn Cheshire - Gibson,65,F,04:56.45
83,Juanita Najera,43,F,04:57.99
84,Tina Graham,52,F,05:00.05
85,Rebekah McCurley,,F,05:02.20
86,David Small,,M,05:04.81
87,Aria Wimberly,,F,05:05.40
88,Amanda Uoronliciewicz,23,F,05:06.03
89,Mallory Aranda,35,F,05:07.75
90,Marian Juarez-Enriquez,,F,05:07.80
91,Aracely Carrillo,,F,05:09.01
92,Emanuel Lucero,34,M,05:09.02
93,Marvin Nials,58,M,05:10.08
94,Rylee Wimberly,,F,05:11.73
95,Marissa Martinez,25,F,05:17.49
96,Kacie Sandoval,,F,05:18.84
97,Christina Romero,51,F,05:20.62
98,Lisa Bora,51,F,05:21.71
99,Ryan Kirk,27,M,05:22.59
100,Jon Galaviz,41,M,05:23.83
 ,,,,
Place,Name,Age,Gender,Total Time
101,Scott Schmicker,42,M,05:28.79
102,Emmanuel Lucero,34,M,05:28.87
103,George Woods,,M,05:32.70
104,Alexis Folsom,,F,05:35.09
105,Connie Aliverto,43,F,05:37.41
106,Julie Griego,26,F,05:41.83
107,Evelyn Henke,,F,05:42.00
108,Charley-Rose Nevala,,F,05:42.62
109,Domonique Crisostomo,32,F,05:42.86
110,Mandy Herrera,44,F,05:43.00
111,Edgardo Arvizu,,M,05:43.10
112,Carmen Salazar,63,F,05:45.58
113,Krystal Garcia,33,F,05:47.24
114,Kenzie Sandoval,,F,05:50.79
115,Mikayleigh Meadows,,F,05:54.45
116,Frank Tarantello,57,M,05:54.64
117,Aika Aguilar,43,F,05:56.31
118,John McGee,54,M,06:00.74
119,Arian George,40,F,06:01.03
120,Andrea Lopez,39,F,06:01.05
121,Natalya Lumbrera,,F,06:36.24
122,Sonya Woods,41,F,06:42.90
123,Antonita Martinez,48,F,06:59.93
124,Laura McGough,60,F,07:15.46
125,Danielle Fleming,45,F,07:21.61
126,Mbaember David-Wuam,53,F,07:28.04
127,Raetasha Johnson,37,F,07:59.86
128,Courtney Mosely,24,F,08:21.63
129,Geneva Cisneros,51,F,08:41.59
130,John Waller,71,M,14:17.02
