2025 harmon towers climb
2025-5-17

50
1,Stephen Marsalese,,m,2:05.87
2,Alexio Gonzalez,,m,2:08.52
3,Jack Cummings,,m,2:13.13
4,Dwight Wise,,m,2:30.73
5,Michelle Colman,,f,2:33.11
6,Patrick Colon,,m,2:53.55
7,David Segro,,m,2:54.69
8,Michael Mastropietro,,m,2:58.00
9,Jotham Otieno,,m,2:59.69
10,Amber Davis,,a,3:11.95
11,Gabe Galella,,m,3:17.83
12,Wycliffe Otieno,,,3:18.16
13,Devon Postel,,,3:19.44
14,Erika Muller,,f,3:19.79
15,Alyssa Lee,,f,3:20.13
16,Matthew Staller,,m,3:20.64
17,Chris Rinaldi,,,3:29.00
18,Priscilla Soong,,f,3:40.53
19,Melanie Huang,,f,3:43.36
20,Aiden Gonzalez,,,4:00.00
21,Amy Huang,,f,4:02.88
22,Kayla Lee,,f,4:03.07
23,James McNamara,,m,4:06.17
24,Marissa Huang,,f,4:14.14
25,Bailey Fearon,,f,4:19.45
26,Tonya Thompson-Whyte,,f,4:19.98
27,Felicia Chetrit,,f,4:41.12
28,Ken Le,,m,4:50.00
29,Ava Nolan,,f,5:10.00
30,Amy Padnani,,f,5:15.77
31,John Mancini,,m,5:30.00
32,Ameet Padnani,,m,5:58.14
33,Casey Gelcich,,m,6:01.85
34,Lucas Kloepping,,m,6:05.77
35,James Fitzsimmons,,m,7:20.46
36,Maria Fitzsimmons,,f,11:27.91
