2025 FFA NYC
2025-3-18

50
,David Roeske,44,M,6:58.79
,Dominic Palermo,23,M,7:07.10
,Jill Paha,44,F,7:29.37
,Stephen Marsalese,59,M,7:38.37
,Stephen Hemenway,31,M,8:26.58
,David Schachter,27,M,8:32.28
,Anthony Palermo,31,M,8:38.32
,Kevin Finn,58,M,8:39.17
,Peter Goldwasser,46,M,8:39.46
,Christina Mercado,42,F,8:44.55
,Joel Horvath,54,M,8:47.06
,Paul Curley,69,M,9:04.66
,R. Ramawy,11,M,9:09.28
,Adrian Ballinger,31,M,9:20.56
,Lucie Beatrix,36,F,9:28.14
,Stearns Weil,23,M,9:31.55
,Sau-Mei Leung,59,F,9:32.51
,Thodoris Nastos,36,M,9:32.60
,Patrick Colon,59,M,9:37.41
,Mike Stephens,62,M,9:37.99
,T. Walsh,11,M,9:42.40
,Daniel Martinez,49,M,9:45.67
,Evan Turkovic,27,M,9:50.58
,Drew Miller,24,M,9:51.14
,Sophie Morgani,38,F,9:52.32
,Victor Candelario,29,M,9:53.23
,Vincent Loiero,68,M,10:05.93
,Michelle Colman,53,F,10:06.12
,Macky Gray,49,M,10:11.96
,Jeffrey Gingold,65,M,10:22.52
,Caitlin ODonnell,35,F,10:24.22
,Daniel Esposito,24,M,10:24.44
,Derek Terrell,38,M,10:30.38
,Andrew Fessler,25,M,10:31.33
,Duncan Rattray,21,M,10:39.04
,Mike Seilback,45,M,10:39.51
,David Mendel,33,M,10:40.29
,Marie Clare Katigbak,49,F,10:42.75
,Michael McMahon,43,M,10:52.83
,Steven Harvey,35,M,10:55.00
,Lenin Grullon,43,M,10:55.73
,Jesse Diamond,46,M,10:57.34
,Beata Zieba,33,F,11:03.99
,Josh Baron,29,M,11:04.82
,Jean-Claude Kradin,24,M,11:05.49
,Carlos Hernandez,37,M,11:07.50
,Nicholas Turkovic,60,M,11:09.09
,Jannie Leung,43,F,11:11.56
,Trevor Thompson,35,M,11:11.68
,Nick Monaco,22,M,11:13.60
,Louis V. Cerna,24,M,11:18.09
,Jessica Stoeckel,51,F,11:27.34
,Ankh Sma-Ntr,51,M,11:27.95
,Lucas Pai,16,M,11:29.27
,Gerard McMorrow,61,M,11:37.16
,Max Rattray,24,M,11:39.25
,Molly Depner,25,F,11:43.08
,svyatoslav novikov,45,M,11:44.64
,Ngai Lok,41,M,11:45.78
,Jose Monge,63,M,11:45.91
,Ben Hamel,30,M,11:50.47
,Cindy Pan,35,F,11:55.01
,Daniel Riviezzo,59,M,11:55.76
,Marie Fuccilli,45,F,11:56.74
,Matt Dvonch,23,M,11:59.52
,Marissa Spletter,25,F,12:01.44
,Jessica Massias,41,F,12:01.90
,Klaudia Radon,27,F,12:02.00
,Dillon Shinder,31,M,12:06.38
,Matthew Memoli,40,M,12:06.84
,C. Geary,9,M,12:10.50
,Katarzyna Lewandowski,39,F,12:11.50
,Lindsey Corydon,27,F,12:16.00
,Bruce Schulberg,62,M,12:16.97
,Kevin Conway,71,M,12:17.22
,Gilbert Safle,31,M,12:17.75
,Hailey Caruso,24,F,12:23.79
,S. Kramer Mercado,9,M,12:25.07
,Rohan Phadke,22,M,12:27.33
,Mike Price,61,M,12:30.63
,Jake Seilback,16,M,12:31.20
,Tracey Yonteff,50,F,12:31.57
,Anne Klein,62,F,12:34.48
,Emily Hu,31,F,12:45.47
,Jerell White,40,M,12:46.02
,Oscar Salguero,42,M,12:47.63
,Scott Chappe,66,M,12:51.13
,Emily Habeck,24,F,12:52.52
,Pete McCartney,62,M,12:56.00
,Agnieszka Maslowska,49,F,12:59.34
,Michael Gundersen,36,M,13:03.06
,Wavey Baby,33,M,13:03.70
,Will Fisher,37,M,13:08.88
,Lindsay Hyde,42,F,13:09.07
,Veronica Apiarova,39,F,13:10.01
,Darren Seilback,45,M,13:10.84
,Emily Martin,43,F,13:11.15
,Rick Richey,47,M,13:13.34
,Martin McIntosh,28,M,13:15.24
,Brad Unger,50,M,13:15.66
,Marques Dodson,34,M,13:15.78
,Jessica Tabet,33,F,13:19.04
,Joshua Fletschock,32,M,13:19.54
,Juan Pablo Martinez,46,M,13:21.34
,Jamie Daragjati,42,F,13:22.39
,Stephanie Geary,39,F,13:22.44
,MariaElena DiStefano,32,F,13:23.30
,Diana Price,63,F,13:23.51
,Jeffrey Levenberg,40,M,13:25.45
,Jacob Cohn,34,M,13:27.71
,Tia Jones,49,F,13:28.65
,E. Vasquez,8,M,13:33.84
,Jazzy Richey,16,F,13:38.87
,Anna Agostinelli,62,F,13:41.76
,Wilson Salazar,55,M,13:44.86
,Marisa Pacella,40,F,13:48.68
,Pavol Kusnir,27,M,13:49.68
,Robert Christie,53,M,13:52.10
,Brett Levine,56,M,13:59.21
,Tito Perez,69,M,14:00.06
,John Gregory,31,M,14:04.01
,Lauryn Butler,26,F,14:04.33
,Eleftherios Christoforidis,32,M,14:06.81
,Hubert Maslowski,25,M,14:07.37
,Adam Apps,43,M,14:07.95
,Aamir Deen,34,M,14:08.33
,Greg Rattray,62,M,14:15.39
,Alexis Archilla,29,F,14:17.47
,Heather Munns,47,F,14:22.71
,Steven Fonovich,40,M,14:25.10
,Philip Mancuso,36,M,14:28.49
,Samuel Rodriguez,26,M,14:30.77
,Gilda Harrison,62,F,14:31.01
,James McNamara,69,M,14:31.63
,Sara Guenoun,33,F,14:33.06
,Karim Immanuel,62,M,14:33.18
,Melissa Santana,30,F,14:36.24
,Nadya Marusina,43,F,14:41.53
,Debra Barraco,59,F,14:42.27
,Wayne Coven,66,M,14:42.79
,Charles Doyle,61,M,14:43.69
,Margaux Sambon,34,F,14:44.12
,David Chan,64,M,14:50.21
,Tammy Carlins,56,F,14:50.51
,Felicia Leung,37,F,14:55.66
,Tara Wrenn,37,F,14:57.40
,Matthew Pupke,54,M,15:01.48
,Steffen Loh,30,M,15:03.27
,Wiktoria Radon,24,F,15:05.52
,Bridget Gundersen,35,F,15:06.00
,Betsy Giler,41,F,15:12.92
,Roger McCurdy,55,M,15:17.77
,Sienna Tamburri,16,F,15:21.73
,Jason Diaz,54,M,15:23.44
,Leslie Seilback,44,F,15:24.04
,Carina Pabon,36,F,15:24.08
,Cornelius Galpin,63,M,15:24.40
,Alexander Rodriguez,50,M,15:26.97
,Carol Sepulveda,50,F,15:31.16
,Terell Stewart,33,M,15:32.62
,Marjorie Cohen,41,F,15:36.83
,Gregg Nunziata,52,M,15:37.40
,Rebecca Rodriguez,16,F,15:37.98
,Alysyn Reinhardt,31,F,15:46.16
,Anna Vaigast,32,F,15:48.76
,John Mercado,37,M,15:49.78
,R. Vasquez,12,M,15:57.02
,Davonte Woodton,27,F,16:02.80
,Ryan Fessler,25,M,16:03.14
,Frank Mcfly,31,M,16:04.46
,Damaris Del Toro,56,F,16:04.49
,Shvonne Hasan,37,F,16:06.44
,Christopher Beltran,46,M,16:09.95
,Darrien Lewis,33,M,16:12.34
,Eric Sawinski,42,M,16:12.50
,Cynthia CynthiaLam,35,F,16:14.83
,Amy Habeck,57,F,16:17.23
,Beata Dudek,54,F,16:17.73
,Michelle S,31,F,16:18.06
,Kenneth Nichols,45,M,16:20.25
,Kevin Leclerc,39,M,16:22.09
,Mai Thang,48,F,16:23.02
,Sire Sow,40,M,16:28.02
,Rubina Maharjan,31,F,16:32.32
,Ryan Smith,26,M,16:36.07
,Mindy Davidson,65,F,16:36.78
,Paul Goldman,46,M,16:39.44
,Vanessa Ordonez,34,F,16:45.15
,Rachel Orban,52,F,16:48.23
